Subnum trial run rule lastrule color shape number resp corr last_corr corr_col corr_shape corr_num persev persev_err abstime rt
0 1 1 1 -1 Blue Triangle 1 1 0 0 0 1 1 0 0 2320 3199
0 2 1 1 -1 Yellow Circle 4 3 1 0 1 0 0 0 0 6423 7375
0 3 1 1 -1 Yellow Circle 1 1 0 0 0 0 1 0 0 14621 8824
0 4 1 1 -1 Blue Star 2 2 0 0 0 1 1 0 0 24349 11312
0 5 1 1 -1 Red Circle 2 4 0 0 0 1 0 0 0 36524 40190
0 6 1 1 -1 Blue Cross 2 3 0 0 0 1 0 0 0 77538 5304
0 7 1 1 -1 Yellow Circle 2 3 1 0 1 0 0 0 0 83664 16065
0 8 1 1 -1 Yellow Star 1 3 1 0 1 0 0 0 0 100553 17239
0 9 1 1 -1 Green Cross 4 2 1 0 1 0 0 0 0 118614 2641
0 10 1 1 -1 Blue Cross 4 4 1 0 1 0 1 0 0 122119 2000
0 11 1 1 -1 Red Triangle 4 1 1 0 1 1 0 0 0 124942 5665
0 12 1 1 -1 Yellow Cross 1 3 1 0 1 1 0 0 0 131516 3162
0 13 1 1 -1 Green Triangle 3 2 1 0 1 0 0 0 0 135502 4016
0 14 1 1 -1 Yellow Triangle 4 3 1 0 1 0 0 0 0 140382 1216
0 15 1 1 -1 Green Star 4 2 1 0 1 1 0 0 0 142422 1360
0 16 1 1 -1 Yellow Circle 4 3 1 0 1 0 0 0 0 144647 1967
0 17 2 2 1 Blue Triangle 4 4 0 1 1 0 1 1 1 147441 5181
0 18 2 2 1 Blue Star 1 4 0 1 1 0 0 1 1 153445 5160
0 19 2 2 1 Red Cross 3 1 0 1 1 0 0 1 1 159428 34575
0 20 2 2 1 Yellow Star 1 2 1 0 0 1 0 0 0 194908 8679
0 21 2 2 1 Green Triangle 4 2 0 1 1 0 0 1 1 204451 9463
0 22 2 2 1 Blue Triangle 3 1 1 0 0 1 0 0 0 214778 18687
0 23 2 2 1 Blue Cross 3 3 1 0 0 1 1 0 0 234375 5713
0 24 2 2 1 Red Triangle 3 1 1 1 1 1 0 1 0 240911 6441
0 25 2 2 1 Red Triangle 3 1 1 1 1 1 0 1 0 248256 3200
0 26 2 2 1 Blue Circle 1 4 1 1 1 1 0 1 0 252360 3823
0 27 2 2 1 Red Star 4 2 1 0 0 1 0 0 0 257008 9871
0 28 2 2 1 Red Circle 1 4 1 0 0 1 0 0 0 267746 3660
0 29 2 2 1 Blue Triangle 1 1 1 0 0 1 1 0 0 272231 6639
0 30 2 2 1 Yellow Triangle 2 1 1 0 0 1 0 0 0 279774 5280
0 31 2 2 1 Yellow Circle 2 4 1 0 0 1 0 0 0 285959 6510
0 32 3 3 2 Red Star 3 2 0 1 0 1 0 1 1 293293 9584
0 33 3 3 2 Blue Circle 4 4 1 1 1 1 1 1 0 303740 89987
0 34 3 3 2 Yellow Cross 4 4 1 0 0 0 1 0 0 394551 6816
0 35 3 3 2 Green Circle 4 4 1 1 0 1 1 1 0 402189 5817
0 36 3 3 2 Red Triangle 4 4 1 0 0 0 1 0 0 408830 2024
0 37 3 3 2 Yellow Cross 2 3 0 1 1 1 0 1 1 411678 5144
0 38 3 3 2 Blue Star 3 3 1 0 0 0 1 0 0 417645 12408
0 39 3 3 2 Yellow Circle 3 3 1 0 1 0 1 0 0 430878 1397
0 40 3 3 2 Blue Star 2 2 1 1 0 1 1 1 0 433097 2452
0 41 3 3 2 Blue Cross 4 4 1 0 1 0 1 0 0 436428 2208
0 42 3 3 2 Green Triangle 1 1 1 1 0 1 1 1 0 439459 4330
0 43 3 3 2 Green Circle 3 3 1 0 0 0 1 0 0 444692 3656
0 44 3 3 2 Red Cross 2 2 1 0 0 0 1 0 0 449170 3571
0 45 3 3 2 Red Star 1 1 1 0 1 0 1 0 0 453604 2752
0 46 3 3 2 Green Star 4 4 1 0 0 0 1 0 0 457260 3239
0 47 3 3 2 Blue Cross 1 1 1 0 0 0 1 0 0 461322 2193
0 48 4 1 3 Red Circle 2 2 0 1 0 0 1 1 1 464419 3952
0 49 4 1 3 Green Circle 1 1 0 1 0 0 1 1 1 469235 8104
0 50 4 1 3 Red Triangle 1 1 1 1 1 1 1 1 0 478242 7368
0 51 4 1 3 Green Circle 4 4 0 1 0 1 1 1 1 486514 11911
0 52 4 1 3 Red Cross 3 3 0 1 0 1 1 1 1 499248 8888
0 53 4 1 3 Blue Circle 2 2 0 1 0 0 1 1 1 508959 18984
0 54 4 1 3 Yellow Triangle 1 3 1 0 1 0 0 0 0 528809 23117
0 55 4 1 3 Green Star 2 2 1 1 1 1 1 1 0 552749 1633
0 56 4 1 3 Yellow Circle 1 3 1 0 1 0 0 0 0 555247 2214
0 57 4 1 3 Red Star 3 1 1 0 1 0 0 0 0 558284 2512
0 58 4 1 3 Red Cross 2 1 1 0 1 0 0 0 0 561700 2128
0 59 4 1 3 Blue Triangle 4 4 1 1 1 0 1 1 0 564735 2478
0 60 4 1 3 Red Circle 4 1 1 0 1 0 0 0 0 568035 2330
0 61 4 1 3 Blue Star 1 4 1 0 1 0 0 0 0 571272 2116
0 62 4 1 3 Yellow Triangle 2 3 1 0 1 0 0 0 0 574211 2177
0 63 4 1 3 Blue Circle 3 4 1 0 1 1 0 0 0 577211 2337
0 64 5 2 1 Red Circle 4 4 1 0 0 1 1 0 0 580372 7135
0 65 5 2 1 Green Star 1 2 1 1 1 1 0 1 0 588330 5170
0 66 5 2 1 Blue Circle 3 4 1 1 1 1 0 1 0 594367 3316
0 67 5 2 1 Yellow Cross 1 3 1 1 1 1 0 1 0 598506 6065
0 68 5 2 1 Green Triangle 4 1 1 0 0 1 0 0 0 605394 5505
0 69 5 2 1 Blue Star 4 2 1 0 0 1 0 0 0 611803 9079
0 70 5 2 1 Red Cross 1 3 1 0 0 1 0 0 0 621746 3903
0 71 5 2 1 Green Triangle 1 1 1 0 0 1 1 0 0 626472 3010
0 72 5 2 1 Blue Star 3 2 1 0 0 1 0 0 0 630386 3471
0 73 5 2 1 Red Cross 4 3 1 0 0 1 0 0 0 634720 1865
0 74 6 3 2 Green Cross 2 3 0 1 0 1 0 1 1 637407 4761
0 75 6 3 2 Green Star 1 1 1 0 0 0 1 0 0 643040 17296
0 76 6 3 2 Green Triangle 2 2 1 0 1 0 1 0 0 661239 12704
0 77 6 3 2 Blue Triangle 2 2 1 0 0 0 1 0 0 674808 4015
0 78 6 3 2 Yellow Cross 3 3 1 1 1 1 1 1 0 679686 1817
0 79 6 3 2 Green Triangle 3 3 1 0 0 0 1 0 0 682326 6024
0 80 6 3 2 Green Cross 1 1 1 0 0 0 1 0 0 689173 2185
0 81 6 3 2 Blue Triangle 3 3 1 0 0 0 1 0 0 692265 2532
0 82 6 3 2 Red Star 2 2 1 1 0 1 1 1 0 695620 2034
