Subnum trial run rule lastrule color shape number resp corr last_corr corr_col corr_shape corr_num persev persev_err abstime rt
0 1 1 1 -1 Green Circle 3 2 1 0 1 0 0 0 0 3010 1882
0 2 1 1 -1 Blue Cross 4 4 1 0 1 0 1 0 0 5756 1446
0 3 1 1 -1 Yellow Cross 3 3 1 0 1 1 1 0 0 8026 913
0 4 1 1 -1 Green Circle 4 2 1 0 1 0 0 0 0 9762 978
0 5 1 1 -1 Blue Circle 2 4 1 0 1 1 0 0 0 11607 1116
0 6 1 1 -1 Yellow Circle 2 3 1 0 1 0 0 0 0 13555 1943
0 7 1 1 -1 Red Circle 1 1 1 0 1 0 1 0 0 16324 854
0 8 1 1 -1 Green Triangle 1 2 1 0 1 0 0 0 0 18084 1846
0 9 1 1 -1 Green Triangle 4 2 1 0 1 0 0 0 0 20796 702
0 10 1 1 -1 Red Circle 4 1 1 0 1 0 0 0 0 22365 1060
0 11 2 2 1 Blue Cross 2 3 1 0 0 1 0 0 0 24339 966
0 12 2 2 1 Blue Circle 1 4 1 1 1 1 0 0 0 26129 951
0 13 2 2 1 Yellow Triangle 1 1 1 0 0 1 1 0 0 27906 2351
0 14 2 2 1 Red Star 3 2 1 0 0 1 0 0 0 31165 1445
0 15 2 2 1 Green Triangle 1 1 1 0 0 1 1 0 0 33478 1195
0 16 2 2 1 Yellow Triangle 4 1 1 0 0 1 0 0 0 35580 1141
0 17 2 2 1 Green Triangle 2 1 1 0 0 1 0 0 0 37631 865
0 18 2 2 1 Green Star 1 2 1 1 1 1 0 0 0 39409 967
0 19 2 2 1 Yellow Triangle 3 1 1 0 0 1 0 0 0 41244 1036
0 20 2 2 1 Blue Cross 4 3 1 0 0 1 0 0 0 43189 1058
0 21 3 3 2 Yellow Cross 3 3 1 1 1 1 1 0 0 45072 696
0 22 3 3 2 Red Circle 3 3 1 0 0 0 1 0 0 46592 2112
0 23 3 3 2 Red Triangle 3 3 1 0 0 0 1 0 0 49528 911
0 24 3 3 2 Blue Circle 4 4 1 1 1 1 1 0 0 51264 822
0 25 3 3 2 Red Circle 3 3 1 0 0 0 1 0 0 52916 780
0 26 3 3 2 Green Circle 2 2 1 0 1 0 1 0 0 54522 948
0 27 3 3 2 Green Circle 2 2 1 0 1 0 1 0 0 56340 754
0 28 3 3 2 Green Circle 1 1 1 0 0 0 1 0 0 57966 786
0 29 3 3 2 Green Cross 4 4 1 0 0 0 1 0 0 59746 1084
0 30 3 3 2 Red Cross 4 4 1 0 0 0 1 0 0 61656 717
0 31 4 1 3 Green Star 4 2 1 0 1 1 0 0 0 63200 862
0 32 4 1 3 Red Star 2 1 1 0 1 0 0 0 0 64927 1071
0 33 4 1 3 Green Triangle 2 2 1 1 1 0 1 0 0 66906 964
0 34 4 1 3 Blue Star 1 4 1 0 1 0 0 0 0 68734 1351
0 35 4 1 3 Green Star 3 2 1 0 1 1 0 0 0 70912 1397
0 36 4 1 3 Blue Star 4 4 1 1 1 0 1 0 0 73192 820
0 37 4 1 3 Red Triangle 4 1 1 0 1 1 0 0 0 74841 909
0 38 4 1 3 Yellow Star 1 3 1 0 1 0 0 0 0 76655 781
0 39 4 1 3 Red Cross 3 1 1 0 1 0 0 0 0 78282 954
0 40 4 1 3 Red Triangle 1 1 1 1 1 1 1 0 0 80143 670
0 41 5 2 1 Green Circle 4 4 1 0 0 1 1 0 0 81724 1783
0 42 5 2 1 Green Star 4 2 1 1 1 1 0 0 0 84335 949
0 43 5 2 1 Green Cross 3 3 1 0 0 1 1 0 0 86150 893
0 44 5 2 1 Green Circle 1 4 1 0 0 1 0 0 0 87866 4577
0 45 5 2 1 Yellow Cross 2 3 1 1 1 1 0 0 0 93266 706
0 46 5 2 1 Blue Triangle 1 1 1 0 0 1 1 0 0 94793 1299
0 47 5 2 1 Red Triangle 1 1 1 1 1 1 1 0 0 97003 633
0 48 5 2 1 Green Triangle 3 1 1 0 0 1 0 0 0 98541 814
0 49 5 2 1 Blue Star 3 2 1 0 0 1 0 0 0 100260 903
0 50 5 2 1 Red Star 1 2 1 0 0 1 0 0 0 102028 878
0 51 6 3 2 Green Star 2 2 1 1 1 1 1 0 0 103769 2337
0 52 6 3 2 Yellow Triangle 3 3 1 0 1 0 1 0 0 106971 1367
0 53 6 3 2 Yellow Circle 1 1 1 0 0 0 1 0 0 109161 857
0 54 6 3 2 Yellow Star 3 3 1 0 1 0 1 0 0 110923 999
0 55 6 3 2 Red Cross 4 4 1 0 0 0 1 0 0 112743 859
0 56 6 3 2 Yellow Circle 1 1 1 0 0 0 1 0 0 114426 983
0 57 6 3 2 Red Triangle 3 3 1 0 0 0 1 0 0 116356 821
0 58 6 3 2 Red Circle 2 2 1 0 0 0 1 0 0 118000 794
0 59 6 3 2 Blue Star 2 2 1 1 0 1 1 0 0 119663 1139
0 60 6 3 2 Green Cross 1 1 1 0 0 0 1 0 0 121668 1310
