Subnum,trial,run,rule,lastrule,color,shape,number,resp,corr,last_corr,corr_col,corr_shape,corr_num,persev,persev_err,abstime,rt,ptp,unambig,ptpCorr,tent,tent2,corr2,PARPERS,PARPERSERR,
0,1,1,1,-1,Blue,Circle,2,2,0,0,0,0,1,0,0,27394,3978,3,3,0,0,0,0,0,0,
0,2,1,1,-1,Red,Circle,4,4,0,0,0,1,1,0,0,32236,5943,3,0,0,0,0,0,0,0,
0,3,1,1,-1,Green,Cross,1,2,1,0,1,0,0,0,0,39005,3254,3,1,0,0,0,1,0,0,
0,4,1,1,-1,Green,Circle,2,2,1,0,1,0,1,0,0,43125,4702,3,0,0,0,0,1,0,0,
0,5,1,1,-1,Red,Cross,3,1,1,0,1,0,0,0,0,48691,9136,3,1,0,0,0,1,0,0,
0,6,1,1,-1,Red,Circle,2,1,1,0,1,0,0,0,0,58733,4701,3,1,0,0,0,1,0,0,
0,7,1,1,-1,Red,Circle,3,1,1,0,1,0,0,0,0,64340,20117,3,1,0,0,0,1,0,0,
0,8,1,1,-1,Green,Star,2,2,1,0,1,1,1,0,0,85363,2645,3,0,0,0,0,1,0,0,
0,9,1,1,-1,Yellow,Cross,4,3,1,0,1,1,0,0,0,88875,4070,3,0,0,0,0,1,0,0,
0,10,1,1,-1,Yellow,Star,4,2,0,0,0,1,0,0,0,93769,11119,3,2,0,0,0,0,0,0,
0,11,1,1,-1,Red,Star,1,1,1,0,1,0,1,0,0,105752,7800,3,0,0,0,0,1,0,0,
0,12,1,1,-1,Yellow,Triangle,3,3,1,0,1,0,1,0,0,114456,4343,3,0,0,0,0,1,0,0,
0,13,1,1,-1,Green,Triangle,2,2,1,0,1,0,1,0,0,119621,5914,3,0,0,0,0,1,0,0,
0,14,1,1,-1,Green,Star,1,2,1,0,1,1,0,0,0,126400,2982,3,0,0,0,0,1,0,0,
0,15,1,1,-1,Red,Star,1,1,1,0,1,0,1,0,0,130246,3161,3,0,0,0,0,1,0,0,
0,16,1,1,-1,Yellow,Circle,1,3,1,0,1,0,0,0,0,134313,2933,3,1,0,0,0,1,0,0,
0,17,1,1,-1,Yellow,Star,3,3,1,0,1,0,1,0,0,138071,2711,3,0,0,0,0,1,0,0,
0,18,1,1,-1,Red,Star,3,1,1,0,1,0,0,0,0,141604,4778,3,1,0,0,0,1,0,0,
