Subnum trial run rule lastrule color font number resp corr last_corr corr_col corr_font corr_num persev persev_err abstime rt
8199 1 1 1 -1 B T 2 3 1 0 1 0 0 0 0 6297 1742
8199 2 1 1 -1 Y M 3 4 1 0 1 0 0 0 0 8846 745
8199 3 1 1 -1 Y C 1 4 1 0 1 1 0 0 0 10401 527
8199 4 1 1 -1 B M 2 3 1 0 1 1 0 0 0 11734 690
8199 5 1 1 -1 Y C 3 4 1 0 1 1 0 0 0 13233 631
8199 6 1 1 -1 B T 4 3 1 0 1 0 0 0 0 14674 655
8199 7 1 1 -1 R M 3 1 1 0 1 0 0 0 0 16134 1082
8199 8 1 1 -1 G C 3 2 1 0 1 0 0 0 0 18103 745
8199 9 1 1 -1 Y T 1 4 1 0 1 0 0 0 0 19692 741
8199 10 1 1 -1 R B 1 1 1 0 1 1 1 0 0 21244 718
8199 11 2 2 1 G B 4 1 1 0 0 1 0 0 0 22853 3972
8199 12 2 2 1 G B 4 1 1 0 0 1 0 0 0 27711 826
8199 13 2 2 1 G C 1 4 1 0 0 1 0 0 0 29424 793
8199 14 2 2 1 G C 2 4 1 0 0 1 0 0 0 31031 738
8199 15 2 2 1 B B 1 1 1 0 0 1 1 0 0 32581 1084
8199 16 2 2 1 R M 2 3 1 0 0 1 0 0 0 34563 1326
8199 17 2 2 1 Y M 4 3 1 0 0 1 0 0 0 36711 1002
8199 18 2 2 1 B C 4 4 1 0 0 1 1 0 0 38528 1000
8199 19 2 2 1 Y T 3 2 1 0 0 1 0 0 0 40339 1415
8199 20 2 2 1 B B 1 1 1 0 0 1 1 0 0 42599 723
8199 21 3 3 2 G C 3 3 1 0 0 0 1 0 0 44217 2225
8199 22 3 3 2 Y M 1 1 1 0 0 0 1 0 0 47254 828
8199 23 3 3 2 R B 1 1 1 1 1 1 1 1 0 48978 752
8199 24 3 3 2 R C 4 4 1 1 0 1 1 1 0 50625 913
8199 25 3 3 2 B T 3 3 1 0 1 0 1 0 0 52353 761
8199 26 3 3 2 Y C 4 4 1 1 1 1 1 1 0 53926 21925
8199 27 3 3 2 Y T 3 3 1 0 0 0 1 0 0 76667 905
8199 28 3 3 2 R C 4 4 1 1 0 1 1 1 0 78383 1053
8199 29 3 3 2 B M 1 1 1 0 0 0 1 0 0 80249 779
8199 30 3 3 2 G M 2 2 1 0 1 0 1 0 0 81922 722
8199 31 4 1 3 R B 2 2 0 1 0 0 1 1 1 83499 1001
8199 32 4 1 3 B M 2 3 1 0 1 1 0 0 0 85350 886
8199 33 4 1 3 Y C 4 4 1 1 1 1 1 1 0 87039 750
8199 34 4 1 3 G B 1 2 1 0 1 0 0 0 0 88600 780
8199 35 4 1 3 Y C 2 4 1 0 1 1 0 0 0 90229 903
8199 36 4 1 3 R C 2 1 1 0 1 0 0 0 0 91946 779
8199 37 4 1 3 R M 4 1 1 0 1 0 0 0 0 93617 628
8199 38 4 1 3 B C 4 3 1 0 1 0 0 0 0 95139 554
8199 39 4 1 3 Y T 3 4 1 0 1 0 0 0 0 96505 540
8199 40 4 1 3 B C 3 3 1 1 1 0 1 1 0 97857 532
8199 41 4 1 3 G M 3 2 1 0 1 0 0 0 0 99201 676
8199 42 5 2 1 G C 2 2 0 1 1 0 1 1 1 100733 742
8199 43 5 2 1 B T 4 2 1 0 0 1 0 0 0 102327 1623
8199 44 5 2 1 R T 3 2 1 0 0 1 0 0 0 104800 637
8199 45 5 2 1 B T 3 2 1 0 0 1 0 0 0 106288 614
8199 46 5 2 1 Y B 4 1 1 0 0 1 0 0 0 107756 714
8199 47 5 2 1 Y B 3 1 1 0 0 1 0 0 0 109364 1082
8199 48 5 2 1 G B 1 1 1 0 0 1 1 0 0 111335 671
8199 49 5 2 1 G B 1 1 1 0 0 1 1 0 0 112898 596
8199 50 5 2 1 R T 3 2 1 0 0 1 0 0 0 114388 754
8199 51 5 2 1 G M 4 3 1 0 0 1 0 0 0 115997 1217
8199 52 5 2 1 Y T 1 2 1 0 0 1 0 0 0 118028 1019
8199 53 6 3 2 B B 1 1 1 1 0 1 1 1 0 119900 891
8199 54 6 3 2 R T 3 3 1 0 0 0 1 0 0 121685 616
8199 55 6 3 2 Y M 4 4 1 0 1 0 1 0 0 123117 625
8199 56 6 3 2 B T 2 2 1 1 0 1 1 1 0 124558 593
8199 57 6 3 2 R B 1 1 1 1 1 1 1 1 0 126001 590
8199 58 6 3 2 R C 4 4 1 1 0 1 1 1 0 127481 654
8199 59 6 3 2 B B 1 1 1 1 0 1 1 1 0 128949 587
8199 60 6 3 2 B M 1 1 1 0 0 0 1 0 0 130425 527
8199 61 6 3 2 G M 4 4 1 0 0 0 1 0 0 131844 667
8199 62 6 3 2 G C 1 1 1 0 0 0 1 0 0 133325 667
