Subnum trial run rule lastrule color font number resp corr last_corr corr_col corr_font corr_num persev persev_err abstime rt
89320 1 1 1 -1 B C 4 4 0 0 0 1 1 0 0 361638 870
89320 2 1 1 -1 R M 1 3 0 0 0 1 0 0 0 363328 4741
89320 3 1 1 -1 G C 3 3 0 0 0 0 1 0 0 368881 1836
89320 4 1 1 -1 R T 3 1 1 0 1 0 0 0 0 371535 1431
89320 5 1 1 -1 B B 1 3 1 0 1 0 0 0 0 373865 756
89320 6 1 1 -1 Y T 3 4 1 0 1 0 0 0 0 375442 907
89320 7 1 1 -1 B M 2 3 1 0 1 1 0 0 0 377168 750
89320 8 1 1 -1 Y C 2 4 1 0 1 1 0 0 0 378736 645
89320 9 1 1 -1 B C 4 3 1 0 1 0 0 0 0 380201 749
89320 10 1 1 -1 Y C 3 4 1 0 1 1 0 0 0 381769 779
89320 11 1 1 -1 G B 3 2 1 0 1 0 0 0 0 383366 848
89320 12 1 1 -1 B T 4 3 1 0 1 0 0 0 0 385070 737
89320 13 1 1 -1 G B 1 2 1 0 1 0 0 0 0 386624 726
89320 14 2 1 1 Y C 4 4 1 1 1 1 1 1 0 388206 4008
89320 15 2 1 1 R C 1 4 0 0 0 1 0 0 0 393027 764
89320 16 2 1 1 B T 3 2 0 0 0 1 0 0 0 394609 1789
89320 17 2 1 1 R B 2 1 1 1 1 1 0 1 0 397254 6921
89320 18 2 1 1 R M 2 4 0 0 0 0 0 0 0 405069 938
89320 19 2 1 1 G C 1 4 0 0 0 1 0 0 0 406822 1107
89320 20 2 1 1 G B 1 2 1 1 1 0 0 1 0 408747 980
89320 21 2 1 1 B C 4 3 1 1 1 0 0 1 0 410586 605
89320 22 2 1 1 B B 2 3 1 1 1 0 0 1 0 412007 472
89320 23 2 1 1 G C 1 2 1 1 1 0 0 1 0 413294 658
89320 24 2 1 1 Y C 4 4 1 1 1 1 1 1 0 414811 989
89320 25 2 1 1 B B 2 3 1 1 1 0 0 1 0 416618 894
89320 26 2 1 1 Y B 4 4 1 1 1 0 1 1 0 418332 707
89320 27 2 1 1 Y M 1 4 1 1 1 0 0 1 0 419857 591
89320 28 2 1 1 B T 4 3 1 1 1 0 0 1 0 421266 639
89320 29 2 1 1 G B 1 2 1 1 1 0 0 1 0 422722 582
89320 30 3 2 1 R B 1 1 1 1 1 1 1 1 0 424163 1566
89320 31 3 2 1 G B 4 1 1 0 0 1 0 0 0 426630 651
89320 32 3 2 1 R T 2 2 1 0 0 1 1 0 0 428179 686
89320 33 3 2 1 G B 4 1 1 0 0 1 0 0 0 429722 894
89320 34 3 2 1 Y T 2 2 1 0 0 1 1 0 0 431511 778
89320 35 3 2 1 G B 2 1 1 0 0 1 0 0 0 433144 739
89320 36 3 2 1 Y C 4 4 1 1 1 1 1 1 0 434780 844
89320 37 3 2 1 B C 3 4 1 0 0 1 0 0 0 436443 710
89320 38 3 2 1 Y T 3 2 1 0 0 1 0 0 0 438064 746
89320 39 3 2 1 B M 2 3 1 1 1 1 0 1 0 439670 1324
89320 40 4 3 2 B T 3 3 1 0 1 0 1 0 0 441814 3211
89320 41 4 3 2 Y C 4 4 1 1 1 1 1 1 0 445841 640
89320 42 4 3 2 Y C 3 3 1 0 0 0 1 0 0 447300 749
89320 43 4 3 2 R M 3 3 1 1 0 1 1 1 0 448867 568
89320 44 4 3 2 B T 2 2 1 1 0 1 1 1 0 450252 695
89320 45 4 3 2 R C 2 2 1 0 0 0 1 0 0 451805 653
89320 46 4 3 2 R C 2 2 1 0 0 0 1 0 0 453319 612
89320 47 4 3 2 B T 4 4 1 0 0 0 1 0 0 454787 759
89320 48 4 3 2 B B 1 1 1 1 0 1 1 1 0 456366 868
89320 49 4 3 2 G B 4 4 1 0 0 0 1 0 0 458132 870
89320 50 5 1 3 R B 1 1 1 1 1 1 1 1 0 459825 2210
89320 51 5 1 3 B T 4 3 1 0 1 0 0 0 0 462935 618
89320 52 5 1 3 R M 4 1 1 0 1 0 0 0 0 464371 848
89320 53 5 1 3 R M 2 1 1 0 1 0 0 0 0 466121 578
89320 54 5 1 3 B M 3 3 1 1 1 1 1 1 0 467598 693
89320 55 5 1 3 G C 3 2 1 0 1 0 0 0 0 469108 825
89320 56 5 1 3 G C 1 2 1 0 1 0 0 0 0 470791 500
89320 57 5 1 3 Y T 3 4 1 0 1 0 0 0 0 472149 622
89320 58 5 1 3 B B 1 3 1 0 1 0 0 0 0 473589 630
89320 59 5 1 3 R C 4 1 1 0 1 0 0 0 0 475040 901
89320 60 6 2 1 Y M 3 3 1 0 0 1 1 0 0 476842 2825
89320 61 6 2 1 R B 1 1 1 1 1 1 1 1 0 480491 977
89320 62 6 2 1 R T 3 2 1 0 0 1 0 0 0 482364 672
89320 63 6 2 1 Y C 4 4 1 1 1 1 1 1 0 483894 822
89320 64 6 2 1 G C 2 4 1 0 0 1 0 0 0 485538 626
89320 65 6 2 1 G C 1 4 1 0 0 1 0 0 0 486985 651
89320 66 6 2 1 G B 1 1 1 0 0 1 1 0 0 488455 901
89320 67 6 2 1 Y M 3 3 1 0 0 1 1 0 0 490256 796
89320 68 6 2 1 Y B 3 1 1 0 0 1 0 0 0 491870 1008
89320 69 6 2 1 Y M 2 3 1 0 0 1 0 0 0 493778 1506
