Subnum trial run rule lastrule color font number resp corr last_corr corr_col corr_font corr_num persev persev_err abstime rt
8199 1 1 3 -1 G T 1 2 0 0 1 1 0 0 0 301188 2118
8199 2 1 3 -1 B B 1 1 1 0 0 1 1 0 0 304156 902
8199 3 1 3 -1 R B 4 4 1 0 0 0 1 0 0 305951 851
8199 4 1 3 -1 G T 4 4 1 0 0 0 1 0 0 307614 739
8199 5 1 3 -1 R B 3 3 1 0 0 0 1 0 0 309166 2661
8199 6 1 3 -1 B C 3 3 1 0 1 0 1 0 0 312654 668
8199 7 1 3 -1 G B 2 2 1 0 1 0 1 0 0 314133 629
8199 8 1 3 -1 G M 3 3 1 0 0 1 1 0 0 315616 1058
8199 9 1 3 -1 G M 4 4 1 0 0 0 1 0 0 317487 795
8199 10 1 3 -1 Y M 3 3 1 0 0 1 1 0 0 319096 554
8199 11 1 3 -1 B T 1 1 1 0 0 0 1 0 0 320463 764
8199 12 2 1 3 G M 4 4 0 1 0 0 1 1 1 322119 844
8199 13 2 1 3 R B 3 1 1 0 1 1 0 0 0 323775 1036
8199 14 2 1 3 Y B 2 4 1 0 1 0 0 0 0 325705 802
8199 15 2 1 3 B T 2 3 1 0 1 0 0 0 0 327321 659
8199 16 2 1 3 Y M 1 4 1 0 1 0 0 0 0 328794 945
8199 17 2 1 3 B T 2 3 1 0 1 0 0 0 0 330553 770
8199 18 2 1 3 B T 3 3 1 1 1 0 1 1 0 332134 590
8199 19 2 1 3 G T 3 2 1 0 1 1 0 0 0 333540 864
8199 20 2 1 3 Y T 1 4 1 0 1 0 0 0 0 335259 784
8199 21 2 1 3 B C 4 3 1 0 1 0 0 0 0 336858 1050
8199 22 2 1 3 G B 2 2 1 1 1 0 1 1 0 338724 2000
8199 23 3 2 1 R C 3 4 1 0 0 1 0 0 0 341578 4498
8199 24 3 2 1 R M 1 3 1 0 0 1 0 0 0 346886 1895
8199 25 3 2 1 Y T 3 2 1 0 0 1 0 0 0 349594 754
8199 26 3 2 1 Y T 3 2 1 0 0 1 0 0 0 351199 710
8199 27 3 2 1 G T 2 2 1 1 1 1 1 1 0 352759 662
8199 28 3 2 1 B M 3 3 1 1 1 1 1 1 0 354276 1217
8199 29 3 2 1 G M 2 3 1 0 0 1 0 0 0 356306 676
8199 30 3 2 1 Y B 2 1 1 0 0 1 0 0 0 357797 1000
8199 31 3 2 1 R B 4 1 1 1 1 1 0 1 0 359690 819
8199 32 3 2 1 R C 4 4 1 0 0 1 1 0 0 361404 1617
8199 33 4 3 2 Y B 4 4 1 0 1 0 1 0 0 363836 2929
8199 34 4 3 2 Y C 1 1 1 0 0 0 1 0 0 367580 922
8199 35 4 3 2 R B 1 1 1 1 1 1 1 1 0 369395 1299
8199 36 4 3 2 Y M 3 3 1 1 0 1 1 1 0 371588 930
8199 37 4 3 2 G M 4 4 1 0 0 0 1 0 0 373328 982
8199 38 4 3 2 G C 4 4 1 1 0 1 1 1 0 375122 701
8199 39 4 3 2 B B 2 2 1 0 0 0 1 0 0 376636 658
8199 40 4 3 2 Y C 1 1 1 0 0 0 1 0 0 378148 819
8199 41 4 3 2 R C 3 3 1 0 0 0 1 0 0 379860 802
8199 42 4 3 2 Y B 4 4 1 0 1 0 1 0 0 381476 818
8199 43 5 1 3 B B 3 3 1 1 1 0 1 1 0 383108 2602
8199 44 5 1 3 B B 2 3 1 0 1 0 0 0 0 386528 455
8199 45 5 1 3 G T 1 2 1 0 1 1 0 0 0 387796 643
8199 46 5 1 3 Y M 4 4 1 1 1 0 1 1 0 389291 661
8199 47 5 1 3 G C 4 2 1 0 1 0 0 0 0 390762 646
8199 48 5 1 3 R C 2 1 1 0 1 0 0 0 0 392261 691
8199 49 5 1 3 R B 4 1 1 0 1 1 0 0 0 393844 555
8199 50 5 1 3 Y T 1 4 1 0 1 0 0 0 0 395295 1000
8199 51 5 1 3 B M 4 3 1 0 1 1 0 0 0 397111 568
8199 52 5 1 3 B M 3 3 1 1 1 1 1 1 0 398491 524
8199 53 6 2 1 B T 2 2 1 0 0 1 1 0 0 399830 1858
8199 54 6 2 1 G C 4 4 1 0 0 1 1 0 0 402540 1859
8199 55 6 2 1 B M 3 3 1 1 1 1 1 1 0 405213 651
8199 56 6 2 1 Y M 3 3 1 0 0 1 1 0 0 406675 621
8199 57 6 2 1 R C 1 4 1 0 0 1 0 0 0 408108 845
8199 58 6 2 1 Y C 2 4 1 1 1 1 0 1 0 409766 650
8199 59 6 2 1 Y T 2 2 1 0 0 1 1 0 0 411229 1083
8199 60 6 2 1 R T 1 2 1 0 0 1 0 0 0 413166 787
8199 61 6 2 1 Y M 1 3 1 0 0 1 0 0 0 414804 900
8199 62 6 2 1 G M 3 3 1 0 0 1 1 0 0 416520 633
