Subnum trial run rule lastrule color font number resp corr last_corr corr_col corr_font corr_num persev persev_err abstime rt
89320 1 1 1 -1 R T 2 2 0 0 0 1 1 0 0 162364 2453
89320 2 1 1 -1 Y C 2 4 1 0 1 1 0 0 0 165676 2173
89320 3 1 1 -1 Y C 3 4 1 0 1 1 0 0 0 168664 632
89320 4 1 1 -1 B C 3 4 0 0 0 1 0 0 0 170111 522
89320 5 1 1 -1 Y C 3 4 1 0 1 1 0 0 0 171447 1354
89320 6 1 1 -1 R T 2 1 1 0 1 0 0 0 0 173612 2262
89320 7 1 1 -1 B C 1 3 1 0 1 0 0 0 0 176770 599
89320 8 1 1 -1 B M 3 3 1 0 1 1 1 0 0 178183 402
89320 9 1 1 -1 Y B 3 4 1 0 1 0 0 0 0 179395 806
89320 10 1 1 -1 R M 4 1 1 0 1 0 0 0 0 181014 1348
89320 11 1 1 -1 Y M 3 4 1 0 1 0 0 0 0 183262 835
89320 12 1 1 -1 G C 4 2 1 0 1 0 0 0 0 184914 1024
89320 13 1 1 -1 R T 1 1 1 0 1 0 1 0 0 186793 793
89320 14 1 1 -1 Y M 1 4 1 0 1 0 0 0 0 188487 1018
89320 15 2 1 1 Y T 3 4 1 1 1 0 0 1 0 190325 582
89320 16 2 1 1 G C 4 2 1 1 1 0 0 1 0 191723 3847
89320 17 2 1 1 B M 3 3 1 1 1 1 1 1 0 196423 843
89320 18 2 1 1 B M 1 3 1 1 1 1 0 1 0 198154 632
89320 19 2 1 1 G M 3 2 1 1 1 0 0 1 0 199599 819
89320 20 2 1 1 G M 3 2 1 1 1 0 0 1 0 201278 948
89320 21 2 1 1 B B 3 3 1 1 1 0 1 1 0 203081 698
89320 22 2 1 1 G T 4 2 1 1 1 1 0 1 0 204595 704
89320 23 2 1 1 R C 4 1 1 1 1 0 0 1 0 206155 889
89320 24 2 1 1 B B 1 3 1 1 1 0 0 1 0 207940 847
89320 25 3 2 1 R T 1 1 0 1 1 0 1 1 1 209604 959
89320 26 3 2 1 B C 3 4 1 0 0 1 0 0 0 211464 3227
89320 27 3 2 1 R C 3 4 1 0 0 1 0 0 0 215508 687
89320 28 3 2 1 R C 2 4 1 0 0 1 0 0 0 217010 770
89320 29 3 2 1 R B 3 2 0 0 0 0 0 0 0 218597 1839
89320 30 3 2 1 G M 3 3 1 0 0 1 1 0 0 221293 1479
89320 31 3 2 1 R B 4 1 1 1 1 1 0 1 0 223590 886
89320 32 3 2 1 B C 1 4 1 0 0 1 0 0 0 225378 810
89320 33 3 2 1 G M 4 3 1 0 0 1 0 0 0 227006 815
89320 34 3 2 1 Y C 1 4 1 1 1 1 0 1 0 228640 780
89320 35 3 2 1 B B 4 1 1 0 0 1 0 0 0 230238 983
89320 36 3 2 1 G T 4 2 1 1 1 1 0 1 0 232118 759
89320 37 3 2 1 G M 4 3 1 0 0 1 0 0 0 233737 626
89320 38 3 2 1 Y M 4 3 1 0 0 1 0 0 0 235180 585
89320 39 3 2 1 Y M 3 3 1 0 0 1 1 0 0 236583 566
89320 40 4 3 2 R C 2 2 1 0 0 0 1 0 0 237968 1485
89320 41 4 3 2 R C 3 3 1 0 0 0 1 0 0 240311 543
89320 42 4 3 2 Y B 3 3 1 0 0 0 1 0 0 241673 788
89320 43 4 3 2 G T 1 1 1 0 0 0 1 0 0 243285 673
89320 44 4 3 2 B B 2 2 1 0 0 0 1 0 0 244853 576
89320 45 4 3 2 G M 4 4 1 0 0 0 1 0 0 246284 833
89320 46 4 3 2 B B 3 3 1 0 1 0 1 0 0 247936 669
89320 47 4 3 2 R T 4 4 1 0 0 0 1 0 0 249426 930
89320 48 4 3 2 B C 4 4 1 1 0 1 1 1 0 251179 858
89320 49 4 3 2 G C 4 4 1 1 0 1 1 1 0 252858 579
89320 50 5 1 3 Y C 3 4 1 0 1 1 0 0 0 254256 68402
89320 51 5 1 3 B M 1 3 1 0 1 1 0 0 0 323471 731
89320 52 5 1 3 R C 2 1 1 0 1 0 0 0 0 325017 1329
89320 53 5 1 3 Y T 1 4 1 0 1 0 0 0 0 327242 753
89320 54 5 1 3 B T 3 3 1 1 1 0 1 1 0 328811 551
89320 55 5 1 3 B B 1 3 1 0 1 0 0 0 0 330180 446
89320 56 5 1 3 Y C 2 4 1 0 1 1 0 0 0 331449 841
89320 57 5 1 3 G C 1 2 1 0 1 0 0 0 0 333108 927
89320 58 5 1 3 Y T 4 4 1 1 1 0 1 1 0 334891 623
89320 59 5 1 3 G T 3 2 1 0 1 1 0 0 0 336335 852
89320 60 6 2 1 R M 2 2 0 0 0 0 1 0 0 338045 1390
89320 61 6 2 1 B B 3 1 1 0 0 1 0 0 0 340294 1221
89320 62 6 2 1 R C 2 4 1 0 0 1 0 0 0 342413 742
89320 63 6 2 1 R B 4 1 1 1 1 1 0 1 0 343973 952
89320 64 6 2 1 R C 3 4 1 0 0 1 0 0 0 345821 758
89320 65 6 2 1 B B 1 1 1 0 0 1 1 0 0 347397 855
89320 66 6 2 1 Y T 3 2 1 0 0 1 0 0 0 349209 915
89320 67 6 2 1 Y T 4 2 1 0 0 1 0 0 0 350981 4840
89320 68 6 2 1 R C 4 4 1 0 0 1 1 0 0 356675 961
89320 69 6 2 1 R C 2 4 1 0 0 1 0 0 0 358454 758
89320 70 6 2 1 R C 1 4 1 0 0 1 0 0 0 360029 785
