Subnum trial run rule lastrule color font number resp corr last_corr corr_col corr_font corr_num persev persev_err abstime rt
89320 1 1 1 -1 R C 2 1 1 0 1 0 0 0 0 12404 1355
89320 2 1 1 -1 B B 1 3 1 0 1 0 0 0 0 14655 816
89320 3 1 1 -1 B M 1 3 1 0 1 1 0 0 0 16290 443
89320 4 1 1 -1 B M 2 3 1 0 1 1 0 0 0 17555 516
89320 5 1 1 -1 B B 3 3 1 0 1 0 1 0 0 18888 471
89320 6 1 1 -1 B T 4 3 1 0 1 0 0 0 0 20177 502
89320 7 1 1 -1 Y C 2 4 1 0 1 1 0 0 0 21498 604
89320 8 1 1 -1 Y T 4 4 1 0 1 0 1 0 0 22920 528
89320 9 1 1 -1 Y M 4 4 1 0 1 0 1 0 0 24268 436
89320 10 1 1 -1 B T 2 3 1 0 1 0 0 0 0 25525 659
89320 11 2 1 1 R T 2 2 0 0 0 1 1 0 0 27004 901
89320 12 2 1 1 B B 4 1 0 0 0 1 0 0 0 28765 1515
89320 13 2 1 1 Y T 4 4 1 1 1 0 1 1 0 31179 4469
89320 14 2 1 1 Y C 3 4 1 1 1 1 0 1 0 36462 618
89320 15 2 1 1 B C 3 3 1 1 1 0 1 1 0 37900 724
89320 16 2 1 1 B B 1 3 1 1 1 0 0 1 0 39443 447
89320 17 2 1 1 Y M 3 4 1 1 1 0 0 1 0 40707 741
89320 18 2 1 1 R M 4 1 1 1 1 0 0 1 0 42270 763
89320 19 2 1 1 B M 1 3 1 1 1 1 0 1 0 43929 671
89320 20 2 1 1 R B 2 1 1 1 1 1 0 1 0 45424 825
89320 21 2 1 1 B C 4 3 1 1 1 0 0 1 0 47150 820
89320 22 2 1 1 B B 1 3 1 1 1 0 0 1 0 48788 637
89320 23 3 2 1 G T 1 2 1 1 1 1 0 1 0 50242 903
89320 24 3 2 1 Y M 1 4 0 1 1 0 0 1 1 52004 1269
89320 25 3 2 1 Y M 4 3 1 0 0 1 0 0 0 54087 3419
89320 26 3 2 1 R C 3 4 1 0 0 1 0 0 0 58325 764
89320 27 3 2 1 Y C 2 4 1 1 1 1 0 1 0 59908 542
89320 28 3 2 1 Y C 4 4 1 1 1 1 1 1 0 61268 535
89320 29 3 2 1 B T 4 1 0 0 0 0 0 0 0 62622 1309
89320 30 3 2 1 B T 2 2 1 0 0 1 1 0 0 64831 13420
89320 31 3 2 1 R B 2 1 1 1 1 1 0 1 0 79110 909
89320 32 3 2 1 B T 4 2 1 0 0 1 0 0 0 80919 1045
89320 33 3 2 1 B B 1 1 1 0 0 1 1 0 0 82824 796
89320 34 3 2 1 R M 1 3 1 0 0 1 0 0 0 84519 1301
89320 35 3 2 1 G C 4 4 1 0 0 1 1 0 0 86637 669
89320 36 3 2 1 G C 2 4 1 0 0 1 0 0 0 88124 519
89320 37 3 2 1 R T 3 2 1 0 0 1 0 0 0 89465 1259
89320 38 3 2 1 R M 1 3 1 0 0 1 0 0 0 91583 965
89320 39 3 2 1 R T 3 2 1 0 0 1 0 0 0 93364 800
89320 40 4 3 2 G T 1 2 0 1 1 1 0 1 1 95023 629
89320 41 4 3 2 Y M 3 3 1 1 0 1 1 1 0 96510 2399
89320 42 4 3 2 G B 2 2 1 0 1 0 1 0 0 99726 638
89320 43 4 3 2 R T 1 1 1 0 1 0 1 0 0 101222 664
89320 44 4 3 2 Y M 2 2 1 0 0 0 1 0 0 102786 1330
89320 45 4 3 2 B B 1 1 1 1 0 1 1 1 0 104979 658
89320 46 4 3 2 Y C 3 3 1 0 0 0 1 0 0 106534 591
89320 47 4 3 2 B T 2 3 0 0 1 0 0 0 0 107946 537
89320 48 4 3 2 B M 2 2 1 0 0 0 1 0 0 109300 705
89320 49 4 3 2 R T 2 2 1 1 0 1 1 1 0 110868 583
89320 50 4 3 2 G T 3 3 1 0 0 0 1 0 0 112309 625
89320 51 4 3 2 G T 3 3 1 0 0 0 1 0 0 113750 527
89320 52 4 3 2 B B 4 4 1 0 0 0 1 0 0 115097 660
89320 53 4 3 2 Y M 4 4 1 0 1 0 1 0 0 116582 607
89320 54 4 3 2 G B 1 1 1 1 0 1 1 1 0 118007 687
89320 55 4 3 2 G C 2 2 1 0 1 0 1 0 0 119593 708
89320 56 4 3 2 R T 3 3 1 0 0 0 1 0 0 121158 576
89320 57 4 3 2 R T 3 3 1 0 0 0 1 0 0 122554 540
89320 58 5 1 3 R M 1 1 1 1 1 0 1 1 0 123913 1285
89320 59 5 1 3 R T 2 1 1 0 1 0 0 0 0 126094 664
89320 60 5 1 3 B B 1 3 1 0 1 0 0 0 0 127662 730
89320 61 5 1 3 R B 4 1 1 0 1 1 0 0 0 129213 793
89320 62 5 1 3 B C 3 3 1 1 1 0 1 1 0 130904 1102
89320 63 5 1 3 B M 2 3 1 0 1 1 0 0 0 132831 535
89320 64 5 1 3 R T 2 1 1 0 1 0 0 0 0 134183 1000
89320 65 5 1 3 Y C 2 4 1 0 1 1 0 0 0 136083 675
89320 66 5 1 3 G T 2 2 1 1 1 1 1 1 0 137577 686
89320 67 5 1 3 R T 3 1 1 0 1 0 0 0 0 139122 854
89320 68 6 2 1 G B 4 1 1 0 0 1 0 0 0 140876 5467
89320 69 6 2 1 G B 2 1 1 0 0 1 0 0 0 147242 694
89320 70 6 2 1 Y C 4 4 1 1 1 1 1 1 0 148837 722
89320 71 6 2 1 B B 1 1 1 0 0 1 1 0 0 150379 1029
89320 72 6 2 1 R T 3 2 1 0 0 1 0 0 0 152303 800
89320 73 6 2 1 Y B 4 1 1 0 0 1 0 0 0 153964 941
89320 74 6 2 1 G T 3 2 1 1 1 1 0 1 0 155800 664
89320 75 6 2 1 Y B 3 1 1 0 0 1 0 0 0 157322 926
89320 76 6 2 1 R M 1 3 1 0 0 1 0 0 0 159148 860
89320 77 6 2 1 Y M 3 3 1 0 0 1 1 0 0 160830 706
