Subnum trial run rule lastrule color shape number resp corr last_corr corr_col corr_shape corr_num persev persev_err abstime rt
0 1 1 1 -1 Blue Circle 2 2 0 0 0 0 1 0 0 27394 3978
0 2 1 1 -1 Red Circle 4 4 0 0 0 1 1 0 0 32236 5943
0 3 1 1 -1 Green Cross 1 2 1 0 1 0 0 0 0 39005 3254
0 4 1 1 -1 Green Circle 2 2 1 0 1 0 1 0 0 43125 4702
0 5 1 1 -1 Red Cross 3 1 1 0 1 0 0 0 0 48691 9136
0 6 1 1 -1 Red Circle 2 1 1 0 1 0 0 0 0 58733 4701
0 7 1 1 -1 Red Circle 3 1 1 0 1 0 0 0 0 64340 20117
0 8 1 1 -1 Green Star 2 2 1 0 1 1 1 0 0 85363 2645
0 9 1 1 -1 Yellow Cross 4 3 1 0 1 1 0 0 0 88875 4070
0 10 1 1 -1 Yellow Star 4 2 0 0 0 1 0 0 0 93769 11119
0 11 1 1 -1 Red Star 1 1 1 0 1 0 1 0 0 105752 7800
0 12 1 1 -1 Yellow Triangle 3 3 1 0 1 0 1 0 0 114456 4343
0 13 1 1 -1 Green Triangle 2 2 1 0 1 0 1 0 0 119621 5914
0 14 1 1 -1 Green Star 1 2 1 0 1 1 0 0 0 126400 2982
0 15 1 1 -1 Red Star 1 1 1 0 1 0 1 0 0 130246 3161
0 16 1 1 -1 Yellow Circle 1 3 1 0 1 0 0 0 0 134313 2933
0 17 1 1 -1 Yellow Star 3 3 1 0 1 0 1 0 0 138071 2711
0 18 1 1 -1 Red Star 3 1 1 0 1 0 0 0 0 141604 4778
0 19 1 1 -1 Blue Cross 1 4 1 0 1 0 0 0 0 147291 3315
0 20 1 1 -1 Green Star 1 2 1 0 1 1 0 0 0 151431 2718
0 21 2 2 1 Blue Triangle 3 4 0 1 1 0 0 1 1 155011 11465
0 22 2 2 1 Yellow Triangle 2 3 0 1 1 0 0 1 1 167301 4919
0 23 2 2 1 Blue Cross 1 4 0 1 1 0 0 1 1 173043 2873
0 24 2 2 1 Green Circle 3 2 0 1 1 0 0 1 1 176739 2041
0 25 2 2 1 Yellow Cross 2 2 0 0 0 0 1 0 0 179643 9033
0 26 2 2 1 Red Star 4 1 0 1 1 0 0 1 1 189541 6814
0 27 2 2 1 Green Circle 3 4 1 0 0 1 0 0 0 197260 4638
0 28 2 2 1 Red Cross 1 3 1 0 0 1 0 0 0 202724 5582
0 29 2 2 1 Yellow Circle 2 4 1 0 0 1 0 0 0 209131 5614
0 30 2 2 1 Red Cross 2 3 1 0 0 1 0 0 0 215570 1703
0 31 2 2 1 Green Star 3 2 1 1 1 1 0 1 0 218098 1808
0 32 2 2 1 Green Star 4 2 1 1 1 1 0 1 0 220771 9285
0 33 2 2 1 Yellow Circle 4 4 1 0 0 1 1 0 0 230921 4999
0 34 2 2 1 Green Star 4 2 1 1 1 1 0 1 0 236743 4017
0 35 2 2 1 Red Star 4 2 1 0 0 1 0 0 0 241623 4345
0 36 2 2 1 Blue Cross 2 3 1 0 0 1 0 0 0 246831 2034
0 37 3 3 2 Red Triangle 1 1 1 1 1 1 1 1 0 249687 14568
0 38 3 3 2 Blue Star 3 2 0 1 0 1 0 1 1 265164 8170
0 39 3 3 2 Green Triangle 4 2 0 0 1 0 0 0 0 274198 10136
0 40 3 3 2 Green Circle 2 2 1 0 1 0 1 0 0 285198 4424
0 41 3 3 2 Yellow Triangle 1 1 1 1 0 1 1 1 0 290489 6916
0 42 3 3 2 Blue Star 4 4 1 0 1 0 1 0 0 298311 4766
0 43 3 3 2 Yellow Cross 2 2 1 0 0 0 1 0 0 303901 4775
0 44 3 3 2 Green Cross 3 4 0 0 0 0 0 0 0 309539 15968
0 45 3 3 2 Green Cross 1 1 1 0 0 0 1 0 0 326332 14734
0 46 3 3 2 Red Circle 4 4 1 1 0 1 1 1 0 341973 2621
0 47 3 3 2 Blue Star 4 4 1 0 1 0 1 0 0 345420 2470
0 48 3 3 2 Blue Star 2 2 1 1 0 1 1 1 0 348713 2521
0 49 3 3 2 Blue Cross 3 3 1 1 0 1 1 1 0 352099 3879
0 50 3 3 2 Yellow Cross 1 1 1 0 0 0 1 0 0 356801 2161
0 51 3 3 2 Red Cross 3 3 1 1 0 1 1 1 0 359866 2071
0 52 3 3 2 Blue Circle 3 3 1 0 0 0 1 0 0 362765 3004
0 53 3 3 2 Yellow Triangle 3 3 1 0 1 0 1 0 0 366591 3754
0 54 3 3 2 Yellow Circle 3 3 1 0 1 0 1 0 0 371169 2463
0 55 4 1 3 Red Circle 1 1 1 1 1 0 1 1 0 374454 6042
0 56 4 1 3 Blue Circle 4 4 1 1 1 1 1 1 0 381407 4081
0 57 4 1 3 Red Star 3 3 0 1 0 0 1 1 1 386312 14119
0 58 4 1 3 Green Triangle 4 4 0 1 0 0 1 1 1 401257 5327
0 59 4 1 3 Red Triangle 1 1 1 1 1 1 1 1 0 407407 5679
0 60 4 1 3 Red Star 2 1 1 0 1 0 0 0 0 413991 6071
0 61 4 1 3 Green Circle 1 2 1 0 1 0 0 0 0 420967 2991
0 62 4 1 3 Red Triangle 2 1 1 0 1 1 0 0 0 424822 9415
0 63 4 1 3 Yellow Circle 4 3 1 0 1 0 0 0 0 435145 7380
0 64 4 1 3 Blue Circle 2 4 1 0 1 1 0 0 0 443349 11799
0 65 4 1 3 Blue Circle 3 4 1 0 1 1 0 0 0 455972 2672
0 66 4 1 3 Yellow Star 4 3 1 0 1 0 0 0 0 459471 2861
0 67 4 1 3 Green Triangle 3 2 1 0 1 0 0 0 0 463157 4199
0 68 4 1 3 Blue Circle 1 4 1 0 1 1 0 0 0 468220 5111
0 69 5 2 1 Yellow Cross 1 3 1 1 1 1 0 1 0 474155 3800
0 70 5 2 1 Yellow Cross 3 3 1 1 1 1 1 1 0 478779 3104
0 71 5 2 1 Yellow Star 2 3 0 1 1 0 0 1 1 482706 5303
0 72 5 2 1 Blue Cross 2 4 0 1 1 0 0 1 1 488839 3451
0 73 5 2 1 Blue Triangle 2 1 1 0 0 1 0 0 0 493115 4247
0 74 5 2 1 Yellow Circle 2 4 1 0 0 1 0 0 0 498267 14302
0 75 5 2 1 Red Triangle 4 1 1 1 1 1 0 1 0 513396 2589
0 76 5 2 1 Green Circle 1 4 1 0 0 1 0 0 0 516890 5910
0 77 5 2 1 Red Triangle 4 1 1 1 1 1 0 1 0 523624 2586
0 78 5 2 1 Blue Cross 4 3 1 0 0 1 0 0 0 527117 3251
0 79 5 2 1 Red Triangle 3 1 1 1 1 1 0 1 0 531192 2752
0 80 5 2 1 Green Star 3 2 1 1 1 1 0 1 0 534848 3199
0 81 5 2 1 Blue Triangle 1 1 1 0 0 1 1 0 0 538914 2470
0 82 5 2 1 Green Cross 4 3 1 0 0 1 0 0 0 542290 2869
0 83 6 3 2 Yellow Cross 4 3 0 1 1 1 0 1 1 545984 7663
0 84 6 3 2 Yellow Circle 3 3 1 0 1 0 1 0 0 554472 3895
