Subnum trial run rule lastrule color font number resp corr last_corr corr_col corr_font corr_num persev persev_err abstime rt
82987 1 1 1 -1 G C 1 2 1 0 1 0 0 0 0 16603 1393
82987 2 1 1 -1 Y C 2 4 1 0 1 1 0 0 0 18557 1166
82987 3 1 1 -1 R B 4 1 1 0 1 1 0 0 0 20277 978
82987 4 1 1 -1 R T 3 1 1 0 1 0 0 0 0 21821 896
82987 5 1 1 -1 B M 2 3 1 0 1 1 0 0 0 23286 874
82987 6 1 1 -1 Y C 3 4 1 0 1 1 0 0 0 24715 716
82987 7 1 1 -1 Y C 2 4 1 0 1 1 0 0 0 25985 586
82987 8 1 1 -1 B T 2 3 1 0 1 0 0 0 0 27124 702
82987 9 1 1 -1 Y C 2 4 1 0 1 1 0 0 0 28381 964
82987 10 1 1 -1 B T 4 3 1 0 1 0 0 0 0 29900 797
82987 11 2 2 1 B B 1 1 1 0 0 1 1 0 0 31253 1816
82987 12 2 2 1 B B 1 1 1 0 0 1 1 0 0 33643 1285
82987 13 2 2 1 R M 4 3 1 0 0 1 0 0 0 35496 2104
82987 14 2 2 1 R T 3 2 1 0 0 1 0 0 0 38155 1044
82987 15 2 2 1 G C 1 4 1 0 0 1 0 0 0 39760 1528
82987 16 2 2 1 R T 3 1 0 1 1 0 0 1 1 41841 1797
82987 17 2 2 1 G M 1 3 1 0 0 1 0 0 0 44205 2548
82987 18 2 2 1 B B 1 1 1 0 0 1 1 0 0 47306 1545
82987 19 2 2 1 Y T 4 2 1 0 0 1 0 0 0 49420 847
82987 20 2 2 1 Y M 4 3 1 0 0 1 0 0 0 50828 2002
82987 21 2 2 1 R T 3 2 1 0 0 1 0 0 0 53383 1897
82987 22 2 2 1 Y C 2 4 1 1 1 1 0 1 0 55842 1019
82987 23 2 2 1 R M 2 3 1 0 0 1 0 0 0 57415 1889
82987 24 2 2 1 Y B 3 1 1 0 0 1 0 0 0 59858 1022
82987 25 2 2 1 G M 4 3 1 0 0 1 0 0 0 61447 855
82987 26 2 2 1 R M 1 3 1 0 0 1 0 0 0 62856 964
82987 27 3 3 2 B C 1 1 1 0 0 0 1 0 0 64374 2235
82987 28 3 3 2 G C 2 2 1 0 1 0 1 0 0 67176 842
82987 29 3 3 2 B T 4 4 1 0 0 0 1 0 0 68579 1404
82987 30 3 3 2 B B 4 4 1 0 0 0 1 0 0 70536 723
82987 31 3 3 2 B C 4 4 1 1 0 1 1 1 0 71813 761
82987 32 3 3 2 G B 2 2 1 0 1 0 1 0 0 73128 930
82987 33 3 3 2 G C 3 3 1 0 0 0 1 0 0 74624 705
82987 34 3 3 2 R B 2 2 1 0 0 0 1 0 0 75883 839
82987 35 3 3 2 B T 4 4 1 0 0 0 1 0 0 77284 821
82987 36 3 3 2 Y M 3 3 1 1 0 1 1 1 0 78669 704
82987 37 4 1 3 G B 4 2 1 0 1 0 0 0 0 79930 1930
82987 38 4 1 3 Y B 4 4 1 1 1 0 1 1 0 82421 989
82987 39 4 1 3 G C 3 2 1 0 1 0 0 0 0 83964 852
82987 40 4 1 3 R M 1 1 1 1 1 0 1 1 0 85377 864
82987 41 4 1 3 R C 2 1 1 0 1 0 0 0 0 86808 704
82987 42 4 1 3 Y C 2 4 1 0 1 1 0 0 0 88081 1212
82987 43 4 1 3 B B 1 3 1 0 1 0 0 0 0 89848 698
82987 44 4 1 3 Y B 4 4 1 1 1 0 1 1 0 91100 1062
82987 45 4 1 3 Y M 3 4 1 0 1 0 0 0 0 92716 700
82987 46 4 1 3 Y B 4 4 1 1 1 0 1 1 0 93970 537
82987 47 5 2 1 B B 2 1 1 0 0 1 0 0 0 95062 4003
82987 48 5 2 1 Y M 2 3 1 0 0 1 0 0 0 99632 982
82987 49 5 2 1 Y T 1 2 1 0 0 1 0 0 0 101168 2318
82987 50 5 2 1 G M 3 3 1 0 0 1 1 0 0 104047 2975
82987 51 5 2 1 R M 2 3 1 0 0 1 0 0 0 107576 1820
82987 52 5 2 1 R T 2 2 1 0 0 1 1 0 0 109950 852
82987 53 5 2 1 G M 1 3 1 0 0 1 0 0 0 111363 1487
82987 54 5 2 1 B M 2 3 1 1 1 1 0 1 0 113404 972
82987 55 5 2 1 G M 3 3 1 0 0 1 1 0 0 114930 629
82987 56 5 2 1 B B 1 1 1 0 0 1 1 0 0 116113 1418
82987 57 6 3 2 B C 3 3 1 0 1 0 1 0 0 118097 1285
82987 58 6 3 2 Y C 2 2 1 0 0 0 1 0 0 119938 919
82987 59 6 3 2 G B 2 2 1 0 1 0 1 0 0 121420 770
82987 60 6 3 2 B B 1 1 1 1 0 1 1 1 0 122751 966
82987 61 6 3 2 B C 1 1 1 0 0 0 1 0 0 124285 1351
82987 62 6 3 2 Y M 4 4 1 0 1 0 1 0 0 126205 1324
82987 63 6 3 2 R B 2 2 1 0 0 0 1 0 0 128083 4279
82987 64 6 3 2 G C 2 2 1 0 1 0 1 0 0 132922 661
82987 65 6 3 2 B C 1 1 1 0 0 0 1 0 0 134144 1481
82987 66 6 3 2 B C 4 4 1 1 0 1 1 1 0 136192 1184
