Subnum,trial,run,rule,lastrule,color,shape,number,resp,corr,last_corr,corr_col,corr_shape,corr_num,persev,persev_err,abstime,rt,ptp,unambig,ptpCorr,tent,tent2,corr2,PARPERS,PARPERSERR,
0,1,1,1,-1,Red,Cross,3,1,1,0,1,0,0,0,0,2083,6416,0,1,0,0,0,1,0,0,
0,2,1,1,-1,Blue,Circle,2,4,1,0,1,1,0,0,0,9407,3430,0,0,0,0,0,1,0,0,
0,3,1,1,-1,Yellow,Star,2,3,1,0,1,0,0,0,0,13660,7722,0,1,0,0,0,1,0,0,
0,4,1,1,-1,Green,Circle,2,2,1,0,1,0,1,0,0,22207,3399,0,0,0,0,0,1,0,0,
0,5,1,1,-1,Blue,Triangle,2,4,1,0,1,0,0,0,0,26471,4710,0,1,0,0,0,1,0,0,
0,6,1,1,-1,Blue,Triangle,3,4,1,0,1,0,0,0,0,32005,4754,0,1,0,0,0,1,0,0,
0,7,1,1,-1,Green,Circle,1,2,1,0,1,0,0,0,0,37581,3495,0,1,0,0,0,1,0,0,
0,8,1,1,-1,Green,Circle,3,2,1,0,1,0,0,0,0,41941,3955,0,1,0,0,0,1,0,0,
0,9,1,1,-1,Blue,Triangle,1,4,1,0,1,0,0,0,0,46759,19122,0,1,0,0,0,1,0,0,
0,10,1,1,-1,Blue,Circle,2,4,1,0,1,1,0,0,0,66706,3063,0,0,0,0,0,1,0,0,
0,11,2,2,1,Blue,Cross,2,4,0,1,1,0,0,1,1,70592,4777,1,1,0,0,0,0,0,0,
0,12,2,2,1,Green,Star,4,4,0,0,0,0,1,0,0,76193,45468,1,3,0,0,0,0,0,0,
0,13,2,2,1,Red,Star,2,1,0,1,1,0,0,1,1,122486,9193,1,1,0,0,0,0,0,0,
0,14,2,2,1,Red,Circle,1,1,0,1,1,0,1,1,1,132583,5095,1,0,0,0,0,0,0,0,
0,15,2,2,1,Red,Circle,1,1,0,1,1,0,1,1,1,138584,6919,1,0,0,0,0,0,0,0,
0,16,2,2,1,Green,Triangle,4,2,0,1,1,0,0,1,1,146409,8007,1,1,0,0,0,0,0,0,
0,17,2,2,1,Green,Triangle,3,1,1,0,0,1,0,0,0,155281,5159,1,2,0,0,0,1,0,0,
0,18,2,2,1,Blue,Star,4,2,1,0,0,1,0,0,0,161347,5356,1,2,0,0,0,1,0,0,
0,19,2,2,1,Yellow,Circle,1,4,1,0,0,1,0,0,0,167568,3102,1,2,0,0,0,1,0,0,
0,20,2,2,1,Red,Triangle,1,1,1,1,1,1,1,1,0,171493,4828,1,0,0,0,0,1,0,0,
0,21,2,2,1,Red,Cross,1,3,1,0,0,1,0,0,0,177227,7751,1,2,0,0,0,1,0,0,
0,22,2,2,1,Yellow,Triangle,4,1,1,0,0,1,0,0,0,185801,7097,1,2,0,0,0,1,0,0,
0,23,2,2,1,Blue,Triangle,4,1,1,0,0,1,0,0,0,193873,3483,1,2,0,0,0,1,0,0,
0,24,2,2,1,Red,Triangle,4,1,1,1,1,1,0,1,0,198261,3382,1,0,0,0,0,1,0,0,
0,25,2,2,1,Green,Circle,2,4,1,0,0,1,0,0,0,202550,8197,1,2,0,0,0,1,0,0,
0,26,2,2,1,Green,Circle,4,4,1,0,0,1,1,0,0,211571,3273,1,0,0,0,0,1,0,0,
0,27,3,3,2,Red,Triangle,2,1,0,1,1,1,0,1,1,215669,17543,2,0,0,0,0,0,0,0,
0,28,3,3,2,Blue,Star,1,2,0,1,0,1,0,1,1,234119,7942,2,2,0,0,0,0,0,0,
0,29,3,3,2,Red,Star,1,2,0,1,0,1,0,1,1,242927,6133,2,2,0,0,0,0,0,0,
0,30,3,3,2,Blue,Star,3,3,1,0,0,0,1,0,0,249928,6911,2,3,0,0,0,1,0,0,
0,31,3,3,2,Yellow,Cross,4,4,1,0,0,0,1,0,0,257662,5961,2,3,0,0,0,1,0,0,
0,32,3,3,2,Green,Cross,4,4,1,0,0,0,1,0,0,264446,3273,2,3,0,0,0,1,0,0,
0,33,3,3,2,Green,Star,3,3,1,0,0,0,1,0,0,268545,3303,2,3,0,0,0,1,0,0,
0,34,3,3,2,Red,Cross,1,1,1,0,1,0,1,0,0,272672,5344,2,0,0,0,0,1,0,0,
0,35,3,3,2,Green,Star,1,1,1,0,0,0,1,0,0,278922,5632,2,3,0,0,0,1,0,0,
0,36,3,3,2,Green,Cross,3,3,1,1,0,1,1,1,0,285459,5341,2,0,0,0,0,1,0,0,
0,37,3,3,2,Yellow,Star,4,4,1,0,0,0,1,0,0,291624,3954,2,3,0,0,0,1,0,0,
0,38,3,3,2,Yellow,Circle,4,4,1,1,0,1,1,1,0,296402,7304,2,0,0,0,0,1,0,0,
0,39,3,3,2,Yellow,Star,4,2,0,1,0,1,0,1,1,304530,17874,2,2,0,0,0,0,0,0,
0,40,3,3,2,Red,Star,4,2,0,1,0,1,0,1,1,323269,10727,2,2,0,0,0,0,0,0,
0,41,3,3,2,Yellow,Cross,2,2,1,0,0,0,1,0,0,334861,6944,2,3,0,0,0,1,0,0,
0,42,3,3,2,Blue,Circle,4,4,1,1,1,1,1,1,0,342670,4687,2,0,0,0,0,1,0,0,
0,43,3,3,2,Green,Star,2,2,1,1,1,1,1,1,0,348182,4863,2,0,0,0,0,1,0,0,
0,44,3,3,2,Blue,Triangle,3,3,1,0,0,0,1,0,0,353911,5718,2,3,0,0,0,1,0,0,
0,45,3,3,2,Green,Triangle,4,4,1,0,0,0,1,0,0,360455,8176,2,3,0,0,0,1,0,0,
0,46,3,3,2,Green,Triangle,2,2,1,0,1,0,1,0,0,369454,13777,2,0,0,0,0,1,0,0,
0,47,3,3,2,Yellow,Triangle,3,3,1,0,1,0,1,0,0,384096,10609,2,0,0,0,0,1,0,0,
0,48,3,3,2,Green,Star,1,1,1,0,0,0,1,0,0,395528,7938,2,3,0,0,0,1,0,0,
0,49,3,3,2,Blue,Cross,4,4,1,0,1,0,1,0,0,404372,8118,2,0,0,0,0,1,0,0,
0,50,3,3,2,Yellow,Cross,4,4,1,0,0,0,1,0,0,413315,3007,2,3,0,0,0,1,0,0,
0,51,4,1,3,Yellow,Circle,4,4,0,1,0,1,1,1,1,417146,20210,3,0,0,0,0,0,0,0,
0,52,4,1,3,Red,Triangle,1,1,1,1,1,1,1,1,0,438180,17992,3,0,0,0,0,1,0,0,
0,53,4,1,3,Red,Circle,3,1,1,0,1,0,0,0,0,457082,11693,3,1,0,0,0,1,0,0,
0,54,4,1,3,Green,Cross,1,2,1,0,1,0,0,0,0,469680,3366,3,1,0,0,0,1,0,0,
0,55,4,1,3,Blue,Triangle,1,4,1,0,1,0,0,0,0,473911,4720,3,1,0,0,0,1,0,0,
0,56,4,1,3,Yellow,Triangle,1,3,1,0,1,0,0,0,0,479454,4448,3,1,0,0,0,1,0,0,
0,57,4,1,3,Yellow,Star,3,3,1,1,1,0,1,1,0,484726,3178,3,0,0,0,0,1,0,0,
0,58,4,1,3,Green,Cross,2,2,1,1,1,0,1,1,0,488729,14241,3,0,0,0,0,1,0,0,
0,59,4,1,3,Blue,Star,3,4,1,0,1,0,0,0,0,503834,5495,3,1,0,0,0,1,0,0,
0,60,4,1,3,Red,Star,4,1,1,0,1,0,0,0,0,510154,2680,3,1,0,0,0,1,0,0,
0,61,4,1,3,Green,Triangle,1,2,1,0,1,0,0,0,0,513739,3735,3,1,0,0,0,1,0,0,
0,62,5,2,1,Green,Circle,4,2,0,1,1,0,0,1,1,518339,39122,1,1,0,0,0,0,0,0,
0,63,5,2,1,Green,Cross,1,2,0,1,1,0,0,1,1,558327,12814,1,1,1,1,1,0,1,1,
0,64,5,2,1,Yellow,Cross,3,3,1,1,1,1,1,1,0,572005,4008,1,0,1,3,4,1,1,0,
0,65,5,2,1,Yellow,Star,1,3,0,1,1,0,0,1,1,576837,28362,1,1,1,1,1,0,1,1,
0,66,5,2,1,Blue,Circle,4,4,1,1,1,1,1,1,0,606025,10199,1,0,1,3,0,1,0,0,
0,67,5,2,1,Yellow,Triangle,1,3,0,1,1,0,0,1,1,617047,4193,1,1,0,0,0,0,0,0,
0,68,5,2,1,Blue,Cross,3,3,1,0,0,1,1,0,0,622066,11664,1,0,0,0,0,1,0,0,
0,69,5,2,1,Red,Cross,3,3,1,0,0,1,1,0,0,634555,19608,1,0,0,0,0,1,0,0,
0,70,5,2,1,Yellow,Circle,2,4,1,0,0,1,0,0,0,654987,6641,1,2,0,0,0,1,0,0,
0,71,5,2,1,Yellow,Circle,2,4,1,0,0,1,0,0,0,662454,5222,1,2,0,0,0,1,0,0,
0,72,5,2,1,Blue,Circle,1,4,1,1,1,1,0,1,0,668500,2833,1,0,0,0,0,1,0,0,
0,73,5,2,1,Blue,Cross,4,3,1,0,0,1,0,0,0,672157,6200,1,2,0,0,0,1,0,0,
0,74,5,2,1,Blue,Triangle,4,1,1,0,0,1,0,0,0,679181,10129,1,2,0,0,0,1,0,0,
0,75,5,2,1,Yellow,Triangle,2,1,1,0,0,1,0,0,0,690216,2439,1,2,0,0,0,1,0,0,
0,76,5,2,1,Green,Circle,3,4,1,0,0,1,0,0,0,693562,2443,1,2,0,0,0,1,0,0,
0,77,5,2,1,Red,Circle,2,4,1,0,0,1,0,0,0,696830,1769,1,2,0,0,0,1,0,0,
0,78,6,3,2,Green,Cross,4,3,0,1,0,1,0,1,1,699423,3408,2,2,0,0,0,0,0,0,
0,79,6,3,2,Blue,Cross,3,3,1,1,0,1,1,1,0,703655,12993,2,0,0,0,0,1,0,0,
0,80,6,3,2,Blue,Circle,1,4,0,1,1,1,0,1,1,717472,5040,2,0,1,3,0,0,0,0,
0,81,6,3,2,Green,Circle,1,4,0,1,0,1,0,1,1,723337,16201,2,2,0,0,0,0,0,0,
0,82,6,3,2,Red,Star,1,2,0,1,0,1,0,1,1,740362,10832,2,2,0,0,0,0,0,0,
0,83,6,3,2,Red,Circle,4,4,1,1,0,1,1,1,0,752061,6854,2,0,0,0,0,1,0,0,
0,84,6,3,2,Red,Triangle,4,4,1,0,0,0,1,0,0,759738,4633,2,3,0,0,0,1,0,0,
0,85,6,3,2,Yellow,Circle,3,3,1,0,1,0,1,0,0,765195,4521,2,0,0,0,0,1,0,0,
0,86,6,3,2,Blue,Cross,1,1,1,0,0,0,1,0,0,770540,5680,2,3,0,0,0,1,0,0,
0,87,6,3,2,Red,Triangle,2,2,1,0,0,0,1,0,0,777127,3630,2,3,0,0,0,1,0,0,
0,88,6,3,2,Red,Triangle,3,3,1,0,0,0,1,0,0,781622,6831,2,3,0,0,0,1,0,0,
0,89,6,3,2,Yellow,Triangle,3,3,1,0,1,0,1,0,0,789278,4464,2,0,0,0,0,1,0,0,
0,90,6,3,2,Blue,Circle,3,4,0,1,1,1,0,1,1,794566,5080,2,0,0,0,0,0,0,0,
0,91,6,3,2,Green,Star,3,3,1,0,0,0,1,0,0,800471,11655,2,3,0,0,0,1,0,0,
0,92,6,3,2,Green,Star,2,2,1,1,1,1,1,1,0,812952,14952,2,0,0,0,0,1,0,0,
0,93,6,3,2,Yellow,Cross,2,2,1,0,0,0,1,0,0,828768,22018,2,3,0,0,0,1,0,0,
0,94,6,3,2,Green,Cross,2,2,1,0,1,0,1,0,0,851651,2927,2,0,0,0,0,1,0,0,
0,95,6,3,2,Blue,Triangle,2,2,1,0,0,0,1,0,0,855443,4224,2,3,0,0,0,1,0,0,
0,96,6,3,2,Yellow,Cross,1,1,1,0,0,0,1,0,0,860531,3024,2,3,0,0,0,1,0,0,
0,97,6,3,2,Yellow,Star,3,3,1,0,1,0,1,0,0,864461,2646,2,0,0,0,0,1,0,0,
0,98,6,3,2,Green,Star,4,4,1,0,0,0,1,0,0,867935,4121,2,3,0,0,0,1,0,0,
0,99,6,3,2,Blue,Cross,2,2,1,0,0,0,1,0,0,872882,3257,2,3,0,0,0,1,0,0,
0,100,6,3,2,Red,Circle,2,2,1,0,0,0,1,0,0,877003,3593,2,3,0,0,0,1,0,0,
0,101,7,1,3,Blue,Cross,1,1,0,1,0,0,1,1,1,881461,6849,3,3,0,0,0,0,0,0,
0,102,7,1,3,Green,Triangle,1,1,0,1,0,1,1,1,1,889215,6869,3,0,0,0,0,0,0,0,
0,103,7,1,3,Red,Star,3,3,0,1,0,0,1,1,1,896991,5863,3,3,0,0,0,0,0,0,
0,104,7,1,3,Green,Triangle,3,3,0,1,0,0,1,1,1,903678,4192,3,3,0,0,0,0,0,0,
0,105,7,1,3,Green,Cross,3,2,1,0,1,0,0,0,0,908694,7073,3,1,0,0,0,1,0,0,
0,106,7,1,3,Red,Circle,4,1,1,0,1,0,0,0,0,916631,4313,3,1,0,0,0,1,0,0,
0,107,7,1,3,Red,Cross,4,1,1,0,1,0,0,0,0,921849,9302,3,1,0,0,0,1,0,0,
0,108,7,1,3,Yellow,Cross,1,3,1,0,1,1,0,0,0,932056,1880,3,0,0,0,0,1,0,0,
0,109,7,1,3,Blue,Star,2,4,1,0,1,0,0,0,0,934758,4377,3,1,0,0,0,1,0,0,
0,110,7,1,3,Blue,Circle,3,4,1,0,1,1,0,0,0,939960,2800,3,0,0,0,0,1,0,0,
0,111,7,1,3,Red,Triangle,3,1,1,0,1,1,0,0,0,943583,6202,3,0,0,0,0,1,0,0,
0,112,7,1,3,Red,Star,2,1,1,0,1,0,0,0,0,950691,3167,3,1,0,0,0,1,0,0,
