
id,B1T1,B1T2,B1T3,B1T4,B1T5,B1T6,B1T7,B1T8,B1T9,B1T10,B1T11,B1T12,B1T13,B1T14,B1T15,B1T16,B1T17,B1T18,B1T19,B1T20,B2T1,B2T2,B2T3,B2T4,B2T5,B2T6,B2T7,B2T8,B2T9,B2T10,B2T11,B2T12,B2T13,B2T14,B2T15,B2T16,B2T17,B2T18,B2T19,B2T20,B3T1,B3T2,B3T3,B3T4,B3T5,B3T6,B3T7,B3T8,B3T9,B3T10,B3T11,B3T12,B3T13,B3T14,B3T15,B3T16,B3T17,B3T18,B3T19,B3T20,B4T1,B4T2,B4T3,B4T4,B4T5,B4T6,B4T7,B4T8,B4T9,B4T10,B4T11,B4T12,B4T13,B4T14,B4T15,B4T16,B4T17,B4T18,B4T19,B4T20,B4T21,B4T22,B4T23,B4T24,B4T25,B4T26,B4T27,B4T28,B4T29,B4T30,B4T31,B4T32,B4T33,B4T34,B4T35,B4T36,B4T37,B4T38,B4T39,B4T40,B5T1,B5T2,B5T3,B5T4,B5T5,B5T6,B5T7,B5T8,B5T9,B5T10,B5T11,B5T12,B5T13,B5T14,B5T15,B5T16,B5T17,B5T18,B5T19,B5T20,B6T1,B6T2,B6T3,B6T4,B6T5,B6T6,B6T7,B6T8,B6T9,B6T10,B6T11,B6T12,B6T13,B6T14,B6T15,B6T16,B6T17,B6T18,B6T19,B6T20,B7T1,B7T2,B7T3,B7T4,B7T5,B7T6,B7T7,B7T8,B7T9,B7T10,B7T11,B7T12,B7T13,B7T14,B7T15,B7T16,B7T17,B7T18,B7T19,B7T20,B7T21,B7T22,B7T23,B7T24,B7T25,B7T26,B7T27,B7T28,B7T29,B7T30,B7T31,B7T32,B7T33,B7T34,B7T35,B7T36,B7T37,B7T38,B7T39,B7T40,
test,
id,B1T1,B1T2,B1T3,B1T4,B1T5,B1T6,B1T7,B1T8,B1T9,B1T10,B1T11,B1T12,B1T13,B1T14,B1T15,B1T16,B1T17,B1T18,B1T19,B1T20,B2T1,B2T2,B2T3,B2T4,B2T5,B2T6,B2T7,B2T8,B2T9,B2T10,B2T11,B2T12,B2T13,B2T14,B2T15,B2T16,B2T17,B2T18,B2T19,B2T20,B3T1,B3T2,B3T3,B3T4,B3T5,B3T6,B3T7,B3T8,B3T9,B3T10,B3T11,B3T12,B3T13,B3T14,B3T15,B3T16,B3T17,B3T18,B3T19,B3T20,B4T1,B4T2,B4T3,B4T4,B4T5,B4T6,B4T7,B4T8,B4T9,B4T10,B4T11,B4T12,B4T13,B4T14,B4T15,B4T16,B4T17,B4T18,B4T19,B4T20,B4T21,B4T22,B4T23,B4T24,B4T25,B4T26,B4T27,B4T28,B4T29,B4T30,B4T31,B4T32,B4T33,B4T34,B4T35,B4T36,B4T37,B4T38,B4T39,B4T40,B5T1,B5T2,B5T3,B5T4,B5T5,B5T6,B5T7,B5T8,B5T9,B5T10,B5T11,B5T12,B5T13,B5T14,B5T15,B5T16,B5T17,B5T18,B5T19,B5T20,B6T1,B6T2,B6T3,B6T4,B6T5,B6T6,B6T7,B6T8,B6T9,B6T10,B6T11,B6T12,B6T13,B6T14,B6T15,B6T16,B6T17,B6T18,B6T19,B6T20,B7T1,B7T2,B7T3,B7T4,B7T5,B7T6,B7T7,B7T8,B7T9,B7T10,B7T11,B7T12,B7T13,B7T14,B7T15,B7T16,B7T17,B7T18,B7T19,B7T20,B7T21,B7T22,B7T23,B7T24,B7T25,B7T26,B7T27,B7T28,B7T29,B7T30,B7T31,B7T32,B7T33,B7T34,B7T35,B7T36,B7T37,B7T38,B7T39,B7T40,
test1,1914,209,209,307,268,424,208,456,222,218,297,334,329,345,286,366,300,350,214,379,8941,401,268,271,349,260,248,520,352,2576,340,204,283,297,204,206,241,205,332,351,948,281,259,229,256,243,333,216,246,354,216,228,239,250,387,247,208,209,245,402,703,340,327,213,210,351,240,373,239,343,209,246,372,439,431,4450,210,296,334,216,365,216,359,469,459,306,281,412,226,248,209,418,405,427,417,280,351,389,535,241,646,323,365,205,232,234,217,340,231,204,205,236,205,204,222,221,248,232,339,277,620,251,353,245,243,219,310,446,537,252,307,264,285,206,249,321,344,224,351,281,654,413,232,339,412,221,292,415,294,303,391,356,206,234,589,260,291,269,404,440,424,439,253,448,263,417,475,349,360,363,329,292,363,225,240,228,431,463,381,321,
id,B1T1,B1T2,B1T3,B1T4,B1T5,B1T6,B1T7,B1T8,B1T9,B1T10,B1T11,B1T12,B1T13,B1T14,B1T15,B1T16,B1T17,B1T18,B1T19,B1T20,B2T1,B2T2,B2T3,B2T4,B2T5,B2T6,B2T7,B2T8,B2T9,B2T10,B2T11,B2T12,B2T13,B2T14,B2T15,B2T16,B2T17,B2T18,B2T19,B2T20,B3T1,B3T2,B3T3,B3T4,B3T5,B3T6,B3T7,B3T8,B3T9,B3T10,B3T11,B3T12,B3T13,B3T14,B3T15,B3T16,B3T17,B3T18,B3T19,B3T20,B4T1,B4T2,B4T3,B4T4,B4T5,B4T6,B4T7,B4T8,B4T9,B4T10,B4T11,B4T12,B4T13,B4T14,B4T15,B4T16,B4T17,B4T18,B4T19,B4T20,B4T21,B4T22,B4T23,B4T24,B4T25,B4T26,B4T27,B4T28,B4T29,B4T30,B4T31,B4T32,B4T33,B4T34,B4T35,B4T36,B4T37,B4T38,B4T39,B4T40,B5T1,B5T2,B5T3,B5T4,B5T5,B5T6,B5T7,B5T8,B5T9,B5T10,B5T11,B5T12,B5T13,B5T14,B5T15,B5T16,B5T17,B5T18,B5T19,B5T20,B6T1,B6T2,B6T3,B6T4,B6T5,B6T6,B6T7,B6T8,B6T9,B6T10,B6T11,B6T12,B6T13,B6T14,B6T15,B6T16,B6T17,B6T18,B6T19,B6T20,B7T1,B7T2,B7T3,B7T4,B7T5,B7T6,B7T7,B7T8,B7T9,B7T10,B7T11,B7T12,B7T13,B7T14,B7T15,B7T16,B7T17,B7T18,B7T19,B7T20,B7T21,B7T22,B7T23,B7T24,B7T25,B7T26,B7T27,B7T28,B7T29,B7T30,B7T31,B7T32,B7T33,B7T34,B7T35,B7T36,B7T37,B7T38,B7T39,B7T40,
1,
id,B1T1,B1T2,B1T3,B1T4,B1T5,B1T6,B1T7,B1T8,B1T9,B1T10,B1T11,B1T12,B1T13,B1T14,B1T15,B1T16,B1T17,B1T18,B1T19,B1T20,B2T1,B2T2,B2T3,B2T4,B2T5,B2T6,B2T7,B2T8,B2T9,B2T10,B2T11,B2T12,B2T13,B2T14,B2T15,B2T16,B2T17,B2T18,B2T19,B2T20,B3T1,B3T2,B3T3,B3T4,B3T5,B3T6,B3T7,B3T8,B3T9,B3T10,B3T11,B3T12,B3T13,B3T14,B3T15,B3T16,B3T17,B3T18,B3T19,B3T20,B4T1,B4T2,B4T3,B4T4,B4T5,B4T6,B4T7,B4T8,B4T9,B4T10,B4T11,B4T12,B4T13,B4T14,B4T15,B4T16,B4T17,B4T18,B4T19,B4T20,B4T21,B4T22,B4T23,B4T24,B4T25,B4T26,B4T27,B4T28,B4T29,B4T30,B4T31,B4T32,B4T33,B4T34,B4T35,B4T36,B4T37,B4T38,B4T39,B4T40,B5T1,B5T2,B5T3,B5T4,B5T5,B5T6,B5T7,B5T8,B5T9,B5T10,B5T11,B5T12,B5T13,B5T14,B5T15,B5T16,B5T17,B5T18,B5T19,B5T20,B6T1,B6T2,B6T3,B6T4,B6T5,B6T6,B6T7,B6T8,B6T9,B6T10,B6T11,B6T12,B6T13,B6T14,B6T15,B6T16,B6T17,B6T18,B6T19,B6T20,B7T1,B7T2,B7T3,B7T4,B7T5,B7T6,B7T7,B7T8,B7T9,B7T10,B7T11,B7T12,B7T13,B7T14,B7T15,B7T16,B7T17,B7T18,B7T19,B7T20,B7T21,B7T22,B7T23,B7T24,B7T25,B7T26,B7T27,B7T28,B7T29,B7T30,B7T31,B7T32,B7T33,B7T34,B7T35,B7T36,B7T37,B7T38,B7T39,B7T40,
1,
id,B1T1,B1T2,B1T3,B1T4,B1T5,B1T6,B1T7,B1T8,B1T9,B1T10,B1T11,B1T12,B1T13,B1T14,B1T15,B1T16,B1T17,B1T18,B1T19,B1T20,B2T1,B2T2,B2T3,B2T4,B2T5,B2T6,B2T7,B2T8,B2T9,B2T10,B2T11,B2T12,B2T13,B2T14,B2T15,B2T16,B2T17,B2T18,B2T19,B2T20,B3T1,B3T2,B3T3,B3T4,B3T5,B3T6,B3T7,B3T8,B3T9,B3T10,B3T11,B3T12,B3T13,B3T14,B3T15,B3T16,B3T17,B3T18,B3T19,B3T20,B4T1,B4T2,B4T3,B4T4,B4T5,B4T6,B4T7,B4T8,B4T9,B4T10,B4T11,B4T12,B4T13,B4T14,B4T15,B4T16,B4T17,B4T18,B4T19,B4T20,B4T21,B4T22,B4T23,B4T24,B4T25,B4T26,B4T27,B4T28,B4T29,B4T30,B4T31,B4T32,B4T33,B4T34,B4T35,B4T36,B4T37,B4T38,B4T39,B4T40,B5T1,B5T2,B5T3,B5T4,B5T5,B5T6,B5T7,B5T8,B5T9,B5T10,B5T11,B5T12,B5T13,B5T14,B5T15,B5T16,B5T17,B5T18,B5T19,B5T20,B6T1,B6T2,B6T3,B6T4,B6T5,B6T6,B6T7,B6T8,B6T9,B6T10,B6T11,B6T12,B6T13,B6T14,B6T15,B6T16,B6T17,B6T18,B6T19,B6T20,B7T1,B7T2,B7T3,B7T4,B7T5,B7T6,B7T7,B7T8,B7T9,B7T10,B7T11,B7T12,B7T13,B7T14,B7T15,B7T16,B7T17,B7T18,B7T19,B7T20,B7T21,B7T22,B7T23,B7T24,B7T25,B7T26,B7T27,B7T28,B7T29,B7T30,B7T31,B7T32,B7T33,B7T34,B7T35,B7T36,B7T37,B7T38,B7T39,B7T40,
1,670,271,281,288,208,304,
