trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,4355,6455
2,1,3,2,2,1,3792,0
2,2,3,2,3,2,5512,6313
3,1,3,2,3,1,3387,0
3,2,3,2,2,3,5979,6888
4,1,3,4,3,3,3532,0
4,2,3,4,2,1,11556,0
4,3,3,4,3,2,12933,0
4,4,3,4,1,1,16996,0
4,5,3,4,3,2,22118,0
4,6,3,4,1,3,23594,24343
5,1,3,4,2,1,2804,0
5,2,3,4,3,2,14459,0
5,3,3,4,1,2,17875,0
5,4,3,4,3,1,19603,20487
6,1,3,5,2,1,4542,0
6,2,3,5,3,2,15143,0
6,3,3,5,3,2,19206,0
6,4,3,5,1,3,21492,0
6,5,3,5,2,3,23116,24094
7,1,3,5,3,1,2567,0
7,2,3,5,3,2,6011,0
7,3,3,5,2,3,8886,0
7,4,3,5,2,3,10291,0
7,5,3,5,1,2,13301,0
7,6,3,5,3,1,15141,0
7,7,3,5,3,2,17325,0
7,8,3,5,1,3,18382,0
7,9,3,5,2,1,19907,20583
8,1,3,5,2,1,4448,0
8,2,3,5,3,2,6569,0
8,3,3,5,3,2,8113,0
8,4,3,5,2,2,9457,0
8,5,3,5,2,3,11266,0
8,6,3,5,2,3,12433,0
8,7,3,5,1,2,13724,0
8,8,3,5,3,1,14593,0
8,9,3,5,3,2,15969,0
8,10,3,5,1,3,18642,0
8,11,3,5,2,3,19680,0
8,12,3,5,2,1,20755,21428
9,1,3,6,2,1,4298,0
9,2,3,6,3,2,6098,0
9,3,3,6,3,2,8010,0
9,4,3,6,1,3,9363,0
9,5,3,6,2,3,10826,0
9,6,3,6,2,3,11918,12810
10,1,3,6,2,2,1499,0
10,2,3,6,3,2,3209,0
10,3,3,6,3,1,5489,0
10,4,3,6,2,3,9948,0
10,5,3,6,2,2,12371,0
10,6,3,6,1,2,14186,0
10,7,3,6,3,1,15098,0
10,8,3,6,2,2,16166,0
10,9,3,6,2,3,19482,0
10,10,3,6,1,1,22529,0
10,11,3,6,1,3,29232,0
10,12,3,6,2,1,32704,0
10,13,3,6,3,2,33977,0
10,14,3,6,3,2,38441,0
10,15,3,6,1,3,39409,0
10,16,3,6,2,1,40616,0
10,17,3,6,2,3,42024,42668
11,1,3,6,2,1,2423,0
11,2,3,6,3,2,5471,0
11,3,3,6,3,3,6383,0
11,4,3,6,1,3,8238,0
11,5,3,6,2,1,9183,0
11,6,3,6,3,2,10655,0
11,7,3,6,3,2,13167,0
11,8,3,6,2,3,14598,0
11,9,3,6,3,2,16207,0
11,10,3,6,1,3,17372,0
11,11,3,6,2,1,18622,0
11,12,3,6,2,2,19726,0
11,13,3,6,2,2,27869,0
11,14,3,6,1,2,28991,0
11,15,3,6,2,3,29938,0
11,16,3,6,2,1,30805,0
11,17,3,6,3,2,31957,0
11,18,3,6,3,2,36340,0
11,19,3,6,1,3,37540,0
11,20,3,6,2,1,38740,0
11,21,3,6,2,3,39769,40321
12,1,3,7,2,1,2888,0
12,2,3,7,3,2,5624,0
12,3,3,7,3,2,8227,0
12,4,3,7,1,3,9084,0
12,5,3,7,2,1,10481,0
12,6,3,7,2,3,11212,0
12,7,3,7,1,3,12136,13077
13,1,3,7,2,1,926,0
13,2,3,7,3,2,1812,0
13,3,3,7,2,2,3091,0
13,4,3,7,3,2,4802,0
13,5,3,7,1,3,5658,0
13,6,3,7,2,1,6669,0
13,7,3,7,2,3,7643,0
13,8,3,7,1,2,8539,9214
