trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime,totmove
1,1,3,1,3,1,1092,1537,0
2,1,3,2,2,1,1441,0,1
2,2,3,2,3,2,2209,2650,2
3,1,3,2,3,1,720,0,3
3,2,3,2,3,3,1696,0,4
3,3,3,2,2,3,2735,3184,5
4,1,3,4,2,1,1561,0,6
4,2,3,4,3,2,2503,0,7
4,3,3,4,3,2,3303,0,8
4,4,3,4,1,3,4008,4542,9
5,1,3,4,2,1,1989,0,10
5,2,3,4,3,2,3021,0,11
5,3,3,4,1,2,3581,0,12
5,4,3,4,3,1,4165,4636,13
6,1,3,5,2,1,1279,0,14
6,2,3,5,3,2,2247,0,15
6,3,3,5,3,2,2823,0,16
6,4,3,5,1,3,3358,0,17
6,5,3,5,2,3,3942,4426,18
7,1,3,5,2,1,903,0,19
7,2,3,5,3,2,1807,0,20
7,3,3,5,3,2,2342,0,21
7,4,3,5,1,3,2872,0,22
7,5,3,5,2,1,3445,3933,23
8,1,3,5,3,3,2622,0,24
8,2,3,5,2,2,3990,0,25
8,3,3,5,2,1,8862,0,26
8,4,3,5,3,2,9541,0,27
8,5,3,5,3,2,10645,0,28
8,6,3,5,1,1,11557,0,29
8,7,3,5,2,3,12685,0,30
8,8,3,5,2,3,13637,0,31
8,9,3,5,1,2,15180,0,32
8,10,3,5,3,1,15842,0,33
8,11,3,5,3,2,18089,0,34
8,12,3,5,1,3,19108,0,35
8,13,3,5,2,3,19804,0,36
8,14,3,5,2,1,20356,20858,37
9,1,3,6,2,1,2327,0,38
9,2,3,6,3,2,2975,0,39
9,3,3,6,3,2,3552,0,40
9,4,3,6,1,3,4096,0,41
9,5,3,6,2,3,4652,0,42
9,6,3,6,2,3,5207,5728,43
10,1,3,6,2,1,1703,0,44
10,2,3,6,1,1,3726,0,45
10,3,3,6,3,2,5382,0,46
10,4,3,6,3,2,5935,0,47
10,5,3,6,1,3,6496,0,48
10,6,3,6,2,3,7350,0,49
10,7,3,6,3,1,8894,0,50
10,8,3,6,2,3,9614,10129,51
11,1,3,6,3,3,828,0,52
11,2,3,6,2,1,2031,0,53
11,3,3,6,3,2,2607,0,54
11,4,3,6,3,2,3179,0,55
11,5,3,6,1,3,3755,0,56
11,6,3,6,2,3,4335,0,57
11,7,3,6,2,1,4910,5442,58
12,1,3,7,2,1,1521,0,59
12,2,3,7,3,3,2545,0,60
12,3,3,7,1,2,4225,0,61
12,4,3,7,3,2,4817,0,62
12,5,3,7,3,1,5392,0,63
12,6,3,7,2,2,6875,0,64
12,7,3,7,1,3,8376,0,65
12,8,3,7,2,3,9040,0,66
12,9,3,7,2,1,9612,0,67
12,10,3,7,3,2,10191,0,68
12,11,3,7,3,2,10775,0,69
12,12,3,7,1,3,11368,0,70
12,13,3,7,2,1,12264,0,71
12,14,3,7,2,3,12864,0,72
12,15,3,7,1,3,13441,13984,73
13,1,3,7,2,2,3404,0,74
13,2,3,7,3,2,5331,0,75
13,3,3,7,2,3,7305,0,76
13,4,3,7,2,1,7955,0,77
13,5,3,7,3,2,8546,0,78
13,6,3,7,3,2,9138,0,79
13,7,3,7,1,3,9729,0,80
13,8,3,7,2,1,10583,0,81
13,9,3,7,2,3,11168,0,82
13,10,3,7,1,2,11760,12312,83
Total Moves,85
