trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,2,3,4403,0
1,2,3,1,3,2,12804,0
1,3,3,1,3,1,14515,15181
2,1,3,2,2,1,1430,0
2,2,3,2,3,2,2406,3059
3,1,3,2,3,1,2714,0
3,2,3,2,2,3,4029,4719
4,1,3,4,3,1,4085,0
4,2,3,4,2,3,5249,0
4,3,3,4,1,2,9766,0
4,4,3,4,3,1,10793,0
4,5,3,4,3,2,12660,0
4,6,3,4,1,3,17713,18545
5,1,3,4,3,1,2447,0
5,2,3,4,3,3,3950,0
5,3,3,4,2,2,5871,0
5,4,3,4,2,3,11373,0
5,5,3,4,1,2,12951,0
5,6,3,4,3,2,14126,0
5,7,3,4,3,1,15030,15617
6,1,3,5,3,1,4764,0
6,2,3,5,2,3,7467,0
6,3,3,5,1,2,9172,0
6,4,3,5,3,1,10915,0
6,5,3,5,3,3,12444,0
6,6,3,5,1,3,15907,0
6,7,3,5,2,1,17348,0
6,8,3,5,3,2,18452,0
6,9,3,5,3,2,19547,0
6,10,3,5,2,3,23559,0
6,11,3,5,2,3,24899,0
6,12,3,5,1,2,29363,0
6,13,3,5,3,2,30662,0
6,14,3,5,2,1,33436,0
6,15,3,5,3,2,34914,0
6,16,3,5,1,1,36418,0
6,17,3,5,2,3,40963,0
6,18,3,5,2,3,45961,0
6,19,3,5,1,2,47912,0
6,20,3,5,3,2,49194,0
6,21,3,5,2,1,52457,0
6,22,3,5,2,3,57008,0
6,23,3,5,1,2,58311,0
6,24,3,5,3,2,59241,0
6,25,3,5,2,1,60576,0
6,26,3,5,3,2,62088,0
6,27,3,5,2,2,64257,0
6,28,3,5,1,3,67015,0
6,29,3,5,2,3,69807,71223
7,1,3,5,3,2,2375,0
7,2,3,5,3,1,5335,0
7,3,3,5,2,3,6624,0
7,4,3,5,2,3,8998,0
7,5,3,5,3,2,10647,0
7,6,3,5,1,2,11566,0
7,7,3,5,2,3,13865,0
7,8,3,5,2,1,15142,0
7,9,3,5,3,2,16627,0
7,10,3,5,3,2,17639,0
7,11,3,5,2,3,18799,0
7,12,3,5,2,3,20102,0
7,13,3,5,1,2,21393,0
7,14,3,5,3,1,22171,0
7,15,3,5,3,2,24090,0
7,16,3,5,1,3,26634,0
7,17,3,5,2,3,27834,0
7,18,3,5,2,1,29061,0
7,19,3,5,3,2,30085,0
7,20,3,5,1,2,31108,0
7,21,3,5,3,1,32330,0
7,22,3,5,2,3,34398,34896
8,1,3,5,2,1,949,0
8,2,3,5,3,2,2518,0
8,3,3,5,3,2,3813,0
8,4,3,5,2,3,5688,0
8,5,3,5,2,3,6485,0
8,6,3,5,1,2,8237,0
8,7,3,5,3,2,9133,0
8,8,3,5,3,1,9933,0
8,9,3,5,2,3,10813,0
8,10,3,5,1,3,11625,0
8,11,3,5,2,1,12494,13081
9,1,3,6,3,2,1720,0
9,2,3,6,2,1,2631,0
9,3,3,6,2,3,4343,0
9,4,3,6,1,2,5920,0
9,5,3,6,3,2,6708,0
9,6,3,6,3,1,7628,0
9,7,3,6,2,3,8684,0
9,8,3,6,1,3,10080,0
9,9,3,6,2,3,10820,11323
10,1,3,6,3,2,1254,0
10,2,3,6,3,1,2846,0
10,3,3,6,1,3,6246,0
10,4,3,6,2,1,7098,0
10,5,3,6,2,2,9025,0
10,6,3,6,3,2,11485,0
10,7,3,6,1,3,14973,0
10,8,3,6,2,3,15844,0
10,9,3,6,2,1,16825,0
10,10,3,6,3,2,18182,0
10,11,3,6,3,2,19174,0
10,12,3,6,1,3,19948,0
10,13,3,6,2,3,20820,0
10,14,3,6,2,1,21541,22066
11,1,3,6,3,2,2346,0
11,2,3,6,3,1,3153,0
11,3,3,6,2,3,4592,0
11,4,3,6,2,2,6544,0
11,5,3,6,2,3,7559,0
11,6,3,6,1,2,8719,0
11,7,3,6,3,2,9624,0
11,8,3,6,3,1,10415,0
11,9,3,6,2,3,11335,0
11,10,3,6,2,3,12055,12579
12,1,3,7,3,2,1509,0
12,2,3,7,3,1,2445,0
12,3,3,7,2,3,3191,0
12,4,3,7,2,3,4419,0
12,5,3,7,1,2,5795,0
12,6,3,7,3,2,6692,0
12,7,3,7,3,1,7817,0
12,8,3,7,2,3,9075,0
12,9,3,7,2,2,9971,0
12,10,3,7,1,3,11442,0
12,11,3,7,2,3,12298,12838
13,1,3,7,2,1,847,0
13,2,3,7,3,2,2078,0
13,3,3,7,3,2,3062,0
13,4,3,7,1,3,4078,0
13,5,3,7,2,3,4964,0
13,6,3,7,2,2,5879,0
13,7,3,7,3,1,7038,0
13,8,3,7,2,3,7926,0
13,9,3,7,1,2,8989,9536
