trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,3,1,3132,7661
2,1,3,2,2,3,4072,0
2,2,3,2,3,1,6697,0
2,3,3,2,3,2,9831,10538
3,1,3,2,3,1,2785,0
3,2,3,2,2,3,4777,5626
4,1,3,4,3,1,4621,0
4,2,3,4,3,2,8048,0
4,3,3,4,1,3,12469,0
4,4,3,4,2,1,16084,0
4,5,3,4,2,3,18735,0
4,6,3,4,1,2,24337,0
4,7,3,4,3,1,25573,0
4,8,3,4,2,3,28340,0
4,9,3,4,1,2,33332,0
4,10,3,4,3,1,35067,0
4,11,3,4,2,3,38064,0
4,12,3,4,1,2,43759,0
4,13,3,4,3,2,45347,0
4,14,3,4,3,1,49098,0
4,15,3,4,2,3,52538,0
4,16,3,4,2,3,55490,0
4,17,3,4,1,2,56891,0
4,18,3,4,3,2,58826,59623
5,1,3,4,2,2,4447,0
5,2,3,4,2,3,6297,0
5,3,3,4,3,1,10374,0
5,4,3,4,3,2,14983,0
5,5,3,4,3,2,18007,0
5,6,3,4,1,3,20798,0
5,7,3,4,2,1,23119,0
5,8,3,4,3,2,25470,26154
6,1,3,5,3,2,1550,0
6,2,3,5,2,1,3710,0
6,3,3,5,2,3,6383,0
6,4,3,5,1,2,8165,0
6,5,3,5,3,2,9679,0
6,6,3,5,3,1,11542,0
6,7,3,5,2,3,15050,0
6,8,3,5,1,3,16882,17735
7,1,3,5,3,1,2899,0
7,2,3,5,2,3,5203,0
7,3,3,5,1,2,7617,0
7,4,3,5,3,2,8948,0
7,5,3,5,3,1,11692,0
7,6,3,5,2,3,14002,14710
8,1,3,5,3,2,3602,0
8,2,3,5,3,1,6046,0
8,3,3,5,2,3,7769,0
8,4,3,5,1,2,9197,0
8,5,3,5,2,3,11336,0
8,6,3,5,2,1,14377,15124
9,1,3,6,3,1,2333,0
9,2,3,6,2,3,10577,0
9,3,3,6,3,2,13348,0
9,4,3,6,1,2,16172,0
9,5,3,6,3,1,17421,0
9,6,3,6,2,2,18740,0
9,7,3,6,2,3,22429,0
9,8,3,6,1,2,29589,0
9,9,3,6,3,1,30902,0
9,10,3,6,2,3,34347,0
9,11,3,6,2,3,38187,0
9,12,3,6,1,2,45658,0
9,13,3,6,3,2,46828,0
9,14,3,6,3,1,49019,0
9,15,3,6,2,3,50979,0
9,16,3,6,1,3,52287,0
9,17,3,6,2,3,53819,54488
10,1,3,6,3,1,3198,0
10,2,3,6,3,3,9425,0
10,3,3,6,2,3,12305,0
10,4,3,6,1,2,14292,0
10,5,3,6,3,2,15589,0
10,6,3,6,3,1,18022,0
10,7,3,6,2,3,19532,0
10,8,3,6,2,3,21094,21867
11,1,3,6,3,1,5133,0
11,2,3,6,3,2,7020,0
11,3,3,6,2,3,11210,0
11,4,3,6,1,2,13090,0
11,5,3,6,3,1,14134,0
11,6,3,6,2,3,18858,0
11,7,3,6,1,2,22425,0
11,8,3,6,3,1,24345,0
11,9,3,6,2,3,27661,0
11,10,3,6,2,3,31914,0
11,11,3,6,1,2,33818,0
11,12,3,6,3,2,35018,0
11,13,3,6,3,1,38417,0
11,14,3,6,2,3,40662,0
11,15,3,6,1,3,42616,0
11,16,3,6,2,1,43945,44645
12,1,3,7,2,1,4470,0
12,2,3,7,3,2,6822,0
12,3,3,7,3,2,8101,0
12,4,3,7,1,3,11037,0
12,5,3,7,2,3,14246,0
12,6,3,7,3,1,17038,0
12,7,3,7,2,3,18359,0
12,8,3,7,1,3,19371,20217
13,1,3,7,3,1,2508,0
13,2,3,7,2,2,5799,0
13,3,3,7,3,3,9919,0
13,4,3,7,1,3,18096,0
13,5,3,7,2,1,21495,0
13,6,3,7,3,2,23070,0
13,7,3,7,3,2,24393,0
13,8,3,7,2,3,27077,0
13,9,3,7,1,2,29534,0
13,10,3,7,3,1,33065,0
13,11,3,7,2,3,35249,0
13,12,3,7,2,3,36335,0
13,13,3,7,1,2,37590,38134
