trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,2,1,10418,0
1,2,3,1,3,2,16134,0
1,3,3,1,3,2,21009,0
1,4,3,1,1,3,22536,0
1,5,3,1,2,3,27713,0
1,6,3,1,3,2,30591,0
1,7,3,1,3,1,32785,0
1,8,3,1,2,3,34346,0
1,9,3,1,2,3,36586,0
1,10,3,1,1,2,38408,0
1,11,3,1,3,1,39495,40229
2,1,3,2,3,1,2632,0
2,2,3,2,2,3,6482,0
2,3,3,2,1,2,8423,0
2,4,3,2,3,1,9535,10181
3,1,3,2,3,1,1819,0
3,2,3,2,2,3,3842,4605
4,1,3,4,2,1,4038,0
4,2,3,4,3,2,6316,0
4,3,3,4,3,2,12542,0
4,4,3,4,1,3,13861,14758
5,1,3,4,2,1,3366,0
5,2,3,4,3,2,4749,0
5,3,3,4,1,2,6072,0
5,4,3,4,3,1,7169,8217
6,1,3,5,2,1,5346,0
6,2,3,5,3,2,6446,0
6,3,3,5,3,2,8748,0
6,4,3,5,1,3,9683,0
6,5,3,5,2,3,10742,11313
7,1,3,5,3,2,2701,0
7,2,3,5,3,1,3653,0
7,3,3,5,2,3,5052,0
7,4,3,5,2,3,6229,0
7,5,3,5,3,2,8676,0
7,6,3,5,3,2,9805,0
7,7,3,5,1,3,10861,0
7,8,3,5,2,1,13778,0
7,9,3,5,2,3,14724,0
7,10,3,5,1,2,16012,0
7,11,3,5,3,2,17973,0
7,12,3,5,3,1,19316,0
7,13,3,5,2,3,20187,20687
8,1,3,5,2,1,2862,0
8,2,3,5,3,2,4018,0
8,3,3,5,1,3,7257,0
8,4,3,5,2,1,9337,0
8,5,3,5,3,2,10501,0
8,6,3,5,3,2,11985,0
8,7,3,5,1,3,12801,0
8,8,3,5,2,3,15297,0
8,9,3,5,2,1,16024,16519
9,1,3,6,3,2,5348,0
9,2,3,6,3,1,10131,0
9,3,3,6,1,3,13546,0
9,4,3,6,2,3,14835,0
9,5,3,6,2,1,15594,0
9,6,3,6,3,2,16883,0
9,7,3,6,3,2,17835,0
9,8,3,6,1,3,18617,0
9,9,3,6,2,3,20694,0
9,10,3,6,2,3,21428,21974
10,1,3,6,3,2,3297,0
10,2,3,6,3,1,4297,0
10,3,3,6,2,3,6866,0
10,4,3,6,1,2,8537,0
10,5,3,6,3,1,10682,0
10,6,3,6,1,3,13124,0
10,7,3,6,2,1,14089,0
10,8,3,6,3,2,15769,0
10,9,3,6,2,3,17393,0
10,10,3,6,1,3,18344,0
10,11,3,6,2,1,19272,0
10,12,3,6,3,2,20208,0
10,13,3,6,3,2,21082,0
10,14,3,6,1,3,21856,0
10,15,3,6,2,3,24172,0
10,16,3,6,2,1,24889,25406
11,1,3,6,3,1,2255,0
11,2,3,6,1,3,6127,0
11,3,3,6,3,2,8486,0
11,4,3,6,3,1,11294,0
11,5,3,6,2,3,13206,0
11,6,3,6,1,2,15354,0
11,7,3,6,3,1,16260,0
11,8,3,6,2,3,18231,0
11,9,3,6,1,2,20174,0
11,10,3,6,3,1,22500,0
11,11,3,6,2,3,24766,0
11,12,3,6,2,3,26246,0
11,13,3,6,1,2,27367,0
11,14,3,6,3,1,28287,0
11,15,3,6,3,2,30605,0
11,16,3,6,1,3,31729,0
11,17,3,6,2,1,32854,0
11,18,3,6,2,3,33804,34328
12,1,3,7,3,3,2918,0
12,2,3,7,2,1,6147,0
12,3,3,7,3,2,7568,0
12,4,3,7,3,2,8339,0
12,5,3,7,1,3,9210,0
12,6,3,7,2,1,12470,0
12,7,3,7,2,3,13506,0
12,8,3,7,1,3,14516,15641
13,1,3,7,2,1,6124,0
13,2,3,7,3,2,7198,0
13,3,3,7,3,2,8197,0
13,4,3,7,1,3,9182,0
13,5,3,7,2,1,12300,0
13,6,3,7,2,3,13438,0
13,7,3,7,1,2,14541,15216
