trial,move,pegcount,minmove,sourcepeg,destpeg,putime,tottime
1,1,3,1,2,1,3150,0
1,2,3,1,3,2,4514,5027
2,1,3,2,2,1,1002,0
2,2,3,2,3,2,1641,2091
3,1,3,2,3,1,806,0
3,2,3,2,2,3,1467,1918
4,1,3,4,2,1,1695,0
4,2,3,4,3,2,2692,0
4,3,3,4,3,2,3205,0
4,4,3,4,1,3,3791,4245
5,1,3,4,2,1,1699,0
5,2,3,4,3,2,2362,0
5,3,3,4,1,2,3063,0
5,4,3,4,3,1,3897,4364
6,1,3,5,2,3,894,0
6,2,3,5,3,1,2305,0
6,3,3,5,3,2,3410,0
6,4,3,5,3,2,4169,0
6,5,3,5,1,3,4717,0
6,6,3,5,2,3,5411,5884
7,1,3,5,2,1,9316,0
7,2,3,5,3,2,12733,0
7,3,3,5,3,2,14253,0
7,4,3,5,1,3,14936,0
7,5,3,5,2,1,15502,15987
8,1,3,5,2,1,515,0
8,2,3,5,1,2,1982,0
8,3,3,5,3,1,2527,0
8,4,3,5,3,2,4755,0
8,5,3,5,1,3,5427,0
8,6,3,5,2,3,6124,0
8,7,3,5,2,1,6668,7166
9,1,3,6,2,1,1864,0
9,2,3,6,3,2,2786,0
9,3,3,6,3,2,3329,0
9,4,3,6,1,3,4003,0
9,5,3,6,2,3,4800,0
9,6,3,6,2,3,5602,6386
10,1,3,6,3,2,3198,0
10,2,3,6,3,3,3967,0
10,3,3,6,2,3,8166,0
10,4,3,6,2,1,8754,0
10,5,3,6,3,2,10910,0
10,6,3,6,3,2,11573,0
10,7,3,6,1,3,12183,0
10,8,3,6,2,1,13151,0
10,9,3,6,2,3,13758,14280
11,1,3,6,3,3,817,0
11,2,3,6,2,1,3671,0
11,3,3,6,3,2,4810,0
11,4,3,6,3,2,5745,0
11,5,3,6,1,3,6402,0
11,6,3,6,2,3,7191,0
11,7,3,6,2,1,7797,8327
12,1,3,7,2,1,1643,0
12,2,3,7,3,2,2355,0
12,3,3,7,3,2,3067,0
12,4,3,7,1,3,4547,0
12,5,3,7,2,1,5235,0
12,6,3,7,2,3,5869,0
12,7,3,7,1,3,6956,7496
13,1,3,7,2,1,18231,0
13,2,3,7,3,2,20163,0
13,3,3,7,3,2,21246,0
13,4,3,7,1,3,22138,0
13,5,3,7,2,1,23154,0
13,6,3,7,2,3,24021,0
13,7,3,7,1,2,24748,25299
